winner,loser,winner_score,loser_score,date,duration,clan_battle
643,827,24,-20,2018-08-21,07:19:00,118
370,1556,30,-29,2018-08-27,03:23:00,
1210,1739,43,-5,2020-06-06,00:27:00,
1771,1105,26,-9,2020-01-24,05:58:00,163
854,538,20,-12,2019-06-10,06:03:00,101
335,1737,10,-35,2021-08-15,07:57:00,
1484,926,44,-17,2018-02-20,07:11:00,
310,1031,44,-7,2020-02-29,05:54:00,
1998,1291,45,-27,2020-07-08,02:06:00,
672,1058,16,-18,2020-12-11,03:38:00,
1428,763,14,-12,2018-09-10,02:09:00,
541,1372,44,-29,2019-08-01,02:36:00,
939,1022,34,-16,2019-07-12,01:54:00,102
1086,404,40,-33,2019-04-25,01:51:00,
1152,1696,11,-34,2021-06-09,03:31:00,
479,1920,32,-12,2020-08-03,04:41:00,8
1761,1413,37,-21,2018-09-17,03:26:00,
1864,927,22,-17,2020-09-22,03:50:00,
1788,1087,16,-7,2020-07-17,07:22:00,183
1643,1071,16,-16,2019-01-12,04:31:00,42
1530,1350,38,-21,2018-01-05,03:22:00,
1306,302,10,-22,2018-12-15,02:57:00,108
1102,1081,20,-22,2020-08-11,00:11:00,
704,838,12,-15,2019-01-20,01:22:00,
489,1733,16,-44,2019-01-20,04:02:00,159
500,324,18,-39,2020-01-23,07:38:00,
1002,1086,22,-18,2020-05-10,02:10:00,
1445,1034,12,-30,2019-07-16,00:59:00,
1396,1202,14,-26,2021-06-18,03:05:00,
153,1545,40,-17,2018-11-08,04:55:00,
1016,1926,32,-37,2021-01-08,03:17:00,
1131,1054,34,-30,2021-04-25,00:33:00,
1904,248,24,-22,2021-06-18,04:54:00,
816,682,29,-5,2020-08-15,04:10:00,
1691,1744,37,-28,2019-06-27,02:59:00,
1704,1728,39,-21,2018-11-07,02:23:00,
593,1197,31,-20,2020-02-18,04:14:00,
295,914,15,-18,2020-11-29,05:05:00,195
1289,654,43,-25,2019-08-16,05:15:00,
753,218,40,-17,2019-02-04,07:26:00,96
997,1356,11,-26,2019-03-10,05:29:00,
1012,1792,24,-16,2018-11-27,02:27:00,
1544,801,36,-31,2019-03-02,06:20:00,
1315,880,13,-8,2021-04-05,02:38:00,89
348,469,23,-7,2019-10-24,00:53:00,
538,208,37,-12,2019-07-28,03:53:00,
876,1556,37,-27,2021-09-16,07:22:00,
1805,676,14,-14,2021-10-08,06:41:00,
1373,1133,13,-25,2019-09-13,06:00:00,
258,578,43,-38,2018-06-26,05:01:00,
1384,1221,22,-33,2018-10-25,05:59:00,
750,1201,22,-18,2020-02-02,02:28:00,
1451,945,21,-35,2018-04-23,00:12:00,
1239,316,28,-20,2020-05-01,01:07:00,
130,601,45,-20,2018-05-21,00:04:00,
1032,673,21,-29,2019-12-18,06:35:00,
802,1592,22,-36,2020-12-29,01:20:00,
1980,782,45,-26,2020-07-07,04:30:00,
645,802,39,-23,2021-06-03,00:31:00,
324,1973,35,-8,2019-05-11,07:25:00,
1826,503,40,-13,2018-01-05,03:50:00,
731,943,21,-37,2020-12-09,07:19:00,
1400,1414,32,-29,2021-06-06,02:11:00,
933,1982,30,-28,2021-03-22,03:29:00,157
902,935,35,-33,2020-03-28,05:55:00,
1311,1605,44,-35,2018-09-19,05:16:00,
488,637,10,-13,2018-11-30,06:25:00,186
1017,1245,41,-12,2021-02-12,01:45:00,
130,1481,34,-5,2020-12-23,00:02:00,157
162,1005,28,-11,2020-06-28,02:03:00,65
1457,214,27,-18,2020-01-06,06:14:00,
462,505,14,-42,2018-02-27,02:12:00,
568,868,41,-34,2018-08-03,00:49:00,55
758,1143,11,-17,2020-06-14,05:19:00,
1624,1164,17,-17,2018-05-12,02:16:00,66
226,1651,19,-41,2021-02-05,06:23:00,
1581,1889,30,-18,2021-11-02,02:05:00,
1205,928,43,-33,2019-10-21,01:19:00,100
852,1835,33,-29,2019-12-20,02:25:00,
196,353,21,-24,2018-12-03,06:06:00,
1586,146,18,-45,2018-08-24,01:03:00,
2000,834,29,-24,2018-06-23,04:42:00,
501,1900,12,-35,2020-01-07,04:58:00,
1885,1520,12,-31,2020-12-31,03:20:00,
1270,589,44,-20,2018-11-03,07:20:00,157
1316,1269,36,-24,2019-11-13,02:54:00,
973,1169,32,-43,2020-12-09,02:49:00,146
635,568,30,-8,2021-06-21,00:09:00,
318,252,36,-38,2019-05-25,01:09:00,
494,1764,36,-30,2021-09-26,01:09:00,
699,734,14,-28,2019-09-25,06:02:00,
1021,1483,18,-15,2020-10-29,05:05:00,
698,1973,15,-41,2021-10-29,06:40:00,
192,1460,18,-38,2019-08-09,03:54:00,
1875,116,16,-16,2019-09-25,05:45:00,70
1077,1116,22,-24,2018-08-04,07:06:00,
504,435,13,-7,2021-06-06,04:41:00,
730,1533,22,-36,2020-07-13,02:05:00,53
930,1013,31,-30,2021-04-18,01:44:00,122
757,280,42,-9,2019-03-17,01:40:00,
671,1834,37,-12,2021-07-24,01:31:00,
189,143,22,-22,2021-02-16,00:08:00,
1180,1561,17,-25,2020-11-06,07:16:00,
521,1539,40,-23,2020-03-25,03:05:00,
1789,1741,27,-8,2021-04-14,03:04:00,
1554,1065,27,-11,2019-04-24,04:25:00,
817,991,13,-12,2020-04-18,03:04:00,
1542,1387,26,-6,2020-07-03,01:52:00,
1509,1237,15,-26,2019-05-25,00:34:00,65
604,1210,27,-9,2018-12-19,00:33:00,73
479,659,12,-6,2021-03-17,02:18:00,
282,1715,41,-45,2018-06-15,02:10:00,
737,309,33,-7,2018-10-01,05:42:00,
1863,1462,37,-21,2021-07-27,07:11:00,
1475,1288,13,-10,2019-11-07,07:05:00,
654,1497,16,-18,2019-10-25,03:20:00,
262,657,23,-36,2019-12-01,07:34:00,
109,1550,17,-41,2021-03-09,01:43:00,
263,1068,18,-14,2019-04-03,01:20:00,190
463,1444,43,-42,2021-05-24,02:57:00,
583,1291,31,-31,2018-12-31,04:37:00,
1664,194,10,-8,2020-01-17,04:54:00,105
620,1928,21,-9,2021-07-14,02:38:00,
1515,1540,45,-27,2018-08-12,01:21:00,20
488,1576,31,-7,2018-04-02,06:20:00,
906,1615,12,-30,2021-03-31,02:53:00,
255,391,41,-8,2020-08-14,02:52:00,
690,466,30,-17,2020-12-16,01:34:00,133
1502,1667,41,-22,2019-08-01,04:09:00,
309,1513,19,-42,2019-10-19,00:09:00,
1901,1361,29,-25,2020-10-28,03:14:00,
1655,876,44,-12,2020-07-02,05:01:00,151
544,1686,11,-45,2019-02-23,03:32:00,
1822,1941,15,-37,2021-01-02,03:54:00,
928,1155,22,-45,2019-12-20,03:49:00,
799,788,25,-24,2018-03-01,01:19:00,126
1280,734,35,-18,2021-06-07,00:27:00,33
508,589,16,-27,2018-10-07,00:06:00,
428,1307,27,-12,2018-08-14,05:59:00,
163,1159,17,-32,2018-11-11,05:51:00,
1000,191,30,-28,2019-10-20,07:18:00,
902,1352,20,-44,2019-08-08,00:59:00,
164,566,24,-38,2019-01-19,06:42:00,
1088,110,10,-22,2021-08-18,06:31:00,
901,1320,39,-18,2020-01-02,03:28:00,
216,132,44,-32,2018-05-30,05:20:00,
1781,1745,27,-7,2019-04-03,00:51:00,
771,1203,10,-36,2019-03-17,02:17:00,
878,473,11,-13,2021-01-30,01:44:00,
738,1504,14,-18,2021-08-16,01:35:00,
146,682,15,-20,2021-03-19,00:51:00,
1055,1184,27,-27,2019-01-19,00:03:00,
1273,157,36,-27,2018-11-03,03:08:00,138
1846,1669,35,-14,2018-03-21,01:05:00,
1134,174,40,-17,2019-01-12,04:38:00,65
1421,1813,38,-5,2020-07-05,07:38:00,
805,816,13,-7,2020-10-31,04:56:00,
1961,1875,33,-37,2020-07-01,04:07:00,
854,1904,23,-19,2018-09-02,02:22:00,
385,211,33,-45,2019-10-04,07:50:00,
317,394,25,-43,2018-05-14,02:32:00,144
867,1047,17,-23,2018-11-12,06:29:00,
863,1407,37,-10,2018-11-11,06:32:00,
731,1610,26,-26,2019-05-27,06:58:00,
754,1956,43,-26,2021-10-16,07:02:00,
1770,1982,23,-35,2019-06-13,05:27:00,
631,1274,24,-18,2018-10-03,07:51:00,
1091,1004,38,-5,2018-12-02,02:36:00,
1900,599,41,-43,2020-01-01,06:13:00,
505,449,28,-43,2018-03-07,00:31:00,
340,218,32,-19,2021-02-07,01:28:00,
1359,162,39,-13,2021-08-26,07:01:00,
493,1151,43,-39,2019-09-16,03:37:00,11
1596,1650,20,-14,2020-04-23,06:44:00,
561,291,37,-31,2019-07-12,02:27:00,47
1873,890,20,-44,2018-12-25,02:08:00,
371,190,25,-8,2021-04-25,01:48:00,
1272,989,24,-14,2019-01-22,07:35:00,
360,1306,29,-39,2019-03-06,04:54:00,
235,320,20,-12,2018-02-07,07:33:00,22
481,773,23,-38,2019-05-24,02:20:00,110
1940,1423,43,-40,2018-11-27,01:15:00,156
1367,1109,30,-6,2018-06-02,04:13:00,
1469,859,19,-17,2019-11-25,06:09:00,
146,670,25,-42,2019-11-09,01:10:00,
1024,1703,26,-15,2020-01-27,01:58:00,
1439,1335,42,-11,2020-03-05,02:24:00,
1560,936,45,-5,2019-04-24,01:20:00,
1924,993,13,-24,2020-03-12,05:30:00,
1290,1952,45,-27,2018-07-02,01:30:00,14
1024,543,42,-24,2021-09-06,04:49:00,
1853,1601,32,-43,2018-06-28,04:33:00,
225,1604,25,-44,2021-06-25,03:12:00,
618,508,13,-14,2019-08-20,06:51:00,
1385,127,36,-36,2019-04-04,06:56:00,
860,301,15,-6,2020-02-13,02:17:00,
1880,541,23,-39,2019-10-15,03:18:00,
1398,596,21,-15,2019-01-12,06:57:00,38
1766,1372,37,-6,2018-03-05,07:55:00,90
1464,691,42,-38,2021-08-31,03:16:00,91
1941,1529,25,-33,2018-05-16,00:41:00,
403,1655,23,-23,2020-11-13,05:37:00,
1886,1642,23,-42,2021-06-24,02:55:00,148
1029,1047,10,-26,2019-04-28,07:31:00,
1139,154,28,-33,2018-12-06,05:55:00,
1903,1156,19,-32,2018-11-16,07:09:00,
709,804,41,-16,2019-07-04,05:50:00,
399,961,11,-14,2020-06-12,07:13:00,
1490,1654,39,-11,2019-01-24,06:52:00,43
1553,238,41,-32,2021-08-09,07:22:00,
1045,1563,45,-19,2020-08-07,04:47:00,
1020,1298,23,-32,2021-02-15,01:41:00,
1427,2009,17,-15,2020-08-27,06:36:00,
382,1441,38,-25,2018-03-26,07:02:00,
1247,1794,37,-32,2021-02-14,01:50:00,
940,669,38,-20,2020-09-01,04:30:00,
1181,524,44,-42,2018-10-31,00:45:00,
529,1793,44,-37,2018-07-12,06:56:00,
1520,540,43,-18,2018-06-30,01:31:00,
1557,1060,26,-18,2021-10-17,05:42:00,97
1506,1999,40,-31,2020-10-31,07:29:00,
114,231,29,-10,2018-03-03,01:12:00,
339,371,18,-45,2020-02-12,04:24:00,
193,1538,15,-39,2018-10-18,06:21:00,
185,1863,42,-25,2019-02-21,06:08:00,
1859,1764,29,-31,2021-09-01,03:10:00,
1936,1998,28,-13,2021-09-03,05:25:00,
588,298,34,-30,2018-01-19,02:09:00,29
834,802,29,-7,2019-07-08,00:56:00,
1712,243,37,-35,2021-03-30,02:27:00,
197,1560,43,-24,2021-01-19,00:21:00,
423,1930,25,-39,2018-07-20,02:47:00,
355,1174,30,-19,2019-11-11,00:59:00,
564,1496,24,-24,2020-09-16,06:18:00,
1553,1336,35,-35,2021-04-29,05:42:00,172
1775,769,31,-24,2020-02-06,03:00:00,
934,902,30,-29,2021-05-20,00:08:00,
874,290,15,-27,2020-06-21,05:53:00,
768,462,43,-38,2020-02-06,00:59:00,
1738,1039,13,-29,2020-08-07,05:11:00,
503,995,16,-38,2021-04-07,05:26:00,
1791,663,16,-38,2019-06-11,00:57:00,
515,798,27,-34,2018-10-12,01:02:00,169
184,1765,44,-29,2021-08-06,06:38:00,
1601,1045,14,-22,2019-07-22,04:55:00,
1314,1281,35,-32,2020-10-14,01:17:00,
1231,1527,31,-22,2019-10-03,04:08:00,30
218,186,28,-45,2019-12-10,04:22:00,
619,357,22,-37,2019-02-03,03:54:00,
940,1840,20,-34,2018-05-13,01:48:00,
1863,1831,41,-8,2020-12-31,07:57:00,
754,1738,33,-18,2019-09-04,07:52:00,
464,1521,30,-11,2019-03-19,06:19:00,
242,1253,42,-15,2020-09-06,04:06:00,
1543,1388,40,-42,2018-03-01,05:32:00,
1722,1786,31,-40,2018-09-03,02:57:00,
1774,389,22,-11,2018-06-08,05:38:00,
575,690,24,-32,2019-10-17,07:42:00,
1951,160,45,-24,2020-02-03,05:18:00,
1660,990,12,-26,2019-02-19,03:29:00,
873,1787,41,-29,2019-02-09,02:33:00,171
1073,939,11,-42,2021-09-18,06:35:00,
1295,1161,42,-42,2020-04-18,04:33:00,
1215,1306,19,-23,2019-04-11,05:55:00,
298,140,12,-34,2019-01-20,03:20:00,135
158,1544,32,-6,2021-05-23,01:24:00,99
1341,1681,16,-12,2021-02-14,02:18:00,
738,911,11,-45,2021-02-23,07:12:00,
1909,753,14,-12,2018-02-08,03:51:00,37
474,211,38,-44,2020-10-29,06:09:00,
1184,1691,45,-5,2021-09-26,01:04:00,108
317,1929,19,-10,2018-12-06,06:57:00,
1261,655,32,-15,2018-10-25,01:17:00,
659,734,30,-34,2020-04-01,01:27:00,
1792,404,42,-29,2021-03-13,06:51:00,
136,183,13,-38,2020-06-07,05:40:00,93
428,774,22,-44,2020-06-25,05:31:00,
286,512,19,-37,2021-01-25,02:38:00,
564,226,38,-28,2018-07-23,01:46:00,
149,911,16,-13,2018-02-18,02:26:00,
1932,593,28,-14,2019-05-17,01:30:00,33
401,1013,33,-19,2021-09-18,07:21:00,
1676,1605,17,-32,2021-06-20,04:29:00,
1100,698,23,-40,2019-05-25,06:12:00,
1807,111,18,-13,2020-08-24,07:00:00,
1385,1860,18,-19,2018-02-18,04:39:00,
1286,691,26,-34,2020-07-04,03:23:00,
1720,1630,16,-23,2021-05-11,03:09:00,
935,1589,27,-15,2018-07-19,06:33:00,
422,497,25,-33,2019-11-13,02:27:00,
1160,344,38,-16,2020-09-07,05:38:00,
1617,459,44,-27,2019-01-26,02:29:00,
440,573,11,-29,2018-10-13,01:17:00,175
1086,275,22,-37,2020-11-22,07:53:00,
912,1883,28,-36,2018-03-11,03:52:00,
180,834,45,-13,2018-08-02,01:58:00,
1547,1366,40,-43,2020-12-31,05:36:00,
1642,1527,38,-14,2019-09-21,03:57:00,
1500,441,14,-45,2020-04-04,07:55:00,22
896,974,29,-12,2020-12-21,03:35:00,
344,565,26,-29,2019-10-10,03:30:00,
1929,1968,38,-28,2018-06-04,02:18:00,
884,472,42,-28,2020-05-06,07:22:00,
1487,1797,38,-19,2020-07-09,07:22:00,
876,1886,15,-21,2021-02-11,01:30:00,190
678,1311,40,-7,2019-03-11,07:15:00,
1252,277,32,-13,2021-10-08,07:41:00,
1707,1947,27,-12,2020-10-25,01:45:00,166
1863,1833,27,-36,2019-11-09,02:27:00,
1667,450,16,-28,2019-10-30,06:14:00,22
1577,1955,23,-40,2020-04-08,03:30:00,
1125,551,44,-30,2021-03-26,03:04:00,
1757,1912,13,-36,2019-09-04,02:06:00,
1468,708,18,-25,2020-12-06,02:41:00,
1654,675,28,-40,2021-03-27,04:53:00,38
1685,1378,23,-9,2019-01-28,03:32:00,
908,228,24,-34,2018-04-21,03:42:00,
495,1192,37,-30,2019-06-02,05:54:00,
1980,710,30,-8,2018-08-09,03:16:00,
1668,297,21,-21,2019-11-05,00:09:00,
1131,1814,35,-21,2020-09-16,05:12:00,
998,182,14,-24,2019-06-29,07:04:00,
1884,1713,21,-8,2021-03-29,03:05:00,
202,1637,20,-10,2019-09-24,07:53:00,
522,1909,38,-42,2021-03-12,05:17:00,
286,1639,24,-31,2018-11-11,07:01:00,
465,590,43,-22,2020-09-14,06:15:00,
1711,732,16,-14,2020-09-01,06:37:00,
504,503,35,-44,2019-10-31,07:33:00,
1654,1608,43,-36,2019-03-27,01:16:00,
376,1966,25,-5,2020-12-02,06:44:00,
559,1408,16,-38,2021-06-27,03:34:00,
1485,1000,41,-9,2020-05-13,04:12:00,
1372,1426,20,-26,2019-03-29,01:01:00,
1795,1166,26,-14,2021-08-10,02:48:00,
918,783,20,-7,2018-02-19,07:09:00,
601,448,22,-14,2019-04-01,01:26:00,
1965,647,45,-25,2019-11-04,07:23:00,144
1418,1047,41,-6,2018-03-25,06:58:00,
362,210,24,-8,2019-04-18,03:16:00,
463,438,35,-32,2020-01-22,04:14:00,
219,1243,34,-30,2020-07-05,06:51:00,
1385,884,45,-44,2021-09-22,02:13:00,
825,426,12,-20,2020-09-20,02:39:00,129
1530,1361,20,-10,2019-04-13,01:18:00,
1083,185,12,-18,2020-09-29,04:19:00,50
348,261,13,-21,2020-08-18,06:11:00,
1628,824,22,-21,2019-07-16,02:32:00,97
742,1594,25,-24,2018-07-03,00:51:00,
1641,487,31,-21,2021-08-05,05:59:00,
623,1433,29,-40,2020-03-03,05:58:00,185
1577,1688,39,-23,2019-04-16,00:37:00,
1343,675,37,-44,2018-02-16,02:10:00,
724,1646,38,-30,2021-01-06,04:20:00,
1912,239,35,-34,2018-05-07,01:39:00,
290,1579,27,-34,2018-07-10,00:35:00,
771,1366,23,-30,2020-03-29,00:57:00,
190,414,39,-9,2021-11-10,00:15:00,
493,637,24,-31,2021-01-01,04:58:00,
474,1033,28,-21,2021-01-14,03:54:00,47
1371,588,44,-24,2019-02-27,03:00:00,56
411,1419,44,-39,2021-05-12,00:38:00,
1549,295,34,-30,2020-07-23,01:17:00,
1879,1749,44,-45,2019-09-10,03:58:00,5
754,474,24,-16,2021-09-19,00:03:00,
1089,1403,29,-40,2020-12-20,05:51:00,
587,628,24,-37,2018-02-15,05:16:00,
1620,1171,35,-7,2018-04-15,04:35:00,139
924,821,45,-12,2021-08-02,04:07:00,
333,1745,37,-17,2021-02-10,06:17:00,
1589,1463,45,-34,2019-07-23,05:16:00,
1333,289,25,-19,2020-12-14,00:19:00,18
1374,1384,30,-8,2018-09-01,00:49:00,
1203,1185,33,-33,2021-09-02,04:33:00,186
1095,1542,16,-29,2021-09-01,05:46:00,186
1828,1200,38,-12,2021-10-29,05:47:00,
1481,1378,31,-39,2020-09-18,04:48:00,
1940,1312,16,-6,2018-08-15,03:15:00,
149,1824,12,-12,2018-03-27,01:09:00,
1651,1634,37,-29,2020-03-13,02:47:00,
496,637,22,-31,2019-08-15,07:15:00,
1366,1661,36,-26,2020-07-17,03:25:00,
350,134,37,-14,2020-12-07,05:41:00,
1393,1719,13,-40,2021-10-09,04:48:00,
419,119,27,-44,2021-01-16,00:30:00,
309,354,15,-45,2018-09-23,07:38:00,
401,852,14,-20,2021-05-02,07:04:00,
1671,432,36,-7,2020-05-20,01:30:00,
1377,254,11,-28,2021-07-02,02:11:00,198
195,108,41,-28,2019-05-03,05:36:00,46
102,1627,11,-14,2018-03-12,04:21:00,
724,150,34,-5,2018-09-19,07:08:00,
630,1231,38,-15,2021-07-18,00:15:00,42
483,610,12,-18,2018-07-28,07:07:00,169
1195,1645,37,-42,2021-05-06,03:37:00,
1551,448,39,-45,2018-10-01,01:26:00,21
1678,1824,27,-45,2018-09-05,05:34:00,
306,121,12,-32,2020-06-08,05:37:00,
1613,453,30,-15,2018-06-09,00:45:00,
389,1246,20,-9,2021-03-16,01:12:00,
116,1630,44,-11,2021-02-27,03:56:00,
1267,2000,12,-41,2020-03-09,02:02:00,
1596,1630,12,-40,2018-12-31,05:25:00,164
1174,778,37,-16,2019-10-03,00:12:00,175
1177,1733,33,-30,2020-10-29,00:12:00,
1418,984,43,-16,2021-05-15,06:17:00,132
379,1069,29,-38,2020-07-30,07:40:00,
208,1128,36,-18,2019-04-24,02:46:00,
1521,1518,36,-16,2018-03-29,01:10:00,185
1771,1981,32,-24,2020-08-07,00:06:00,
1275,1541,30,-17,2019-09-26,05:22:00,156
1880,658,14,-36,2018-07-19,05:29:00,
239,849,31,-43,2021-03-17,03:29:00,
1098,1119,27,-14,2021-10-23,06:16:00,
707,1488,17,-28,2021-07-25,02:27:00,
903,1980,25,-26,2020-07-05,01:53:00,
1407,533,30,-22,2018-05-14,01:32:00,
875,224,13,-39,2018-10-04,07:35:00,
898,180,43,-43,2019-09-25,06:43:00,
526,1789,28,-45,2020-04-13,06:38:00,
761,128,35,-32,2020-06-09,03:57:00,
1539,448,24,-24,2019-03-18,06:38:00,
1416,741,25,-12,2020-01-10,02:25:00,
1258,1739,26,-39,2020-12-20,07:36:00,
842,1464,34,-22,2021-08-20,01:15:00,143
1046,1470,24,-25,2018-07-22,01:02:00,192
1163,1863,10,-42,2018-09-21,06:04:00,
1287,848,11,-13,2018-11-18,01:15:00,
1877,1872,38,-10,2018-02-28,07:15:00,69
2001,1709,12,-32,2019-06-01,05:58:00,
196,1623,17,-23,2019-04-25,00:09:00,
1118,1623,40,-21,2020-12-15,04:42:00,
502,999,13,-16,2018-02-10,05:47:00,
468,486,29,-13,2018-05-20,07:33:00,
971,362,20,-25,2019-02-08,04:20:00,
893,1324,30,-33,2021-06-21,01:33:00,
1923,1889,24,-37,2021-04-01,04:54:00,
765,761,13,-44,2019-01-25,02:56:00,49
850,1837,41,-30,2020-07-20,03:21:00,
174,463,43,-29,2018-04-24,07:19:00,
1962,520,36,-45,2018-05-18,05:08:00,17
1544,1221,38,-19,2019-03-14,07:43:00,
916,1171,14,-21,2018-08-02,01:30:00,
1546,1503,14,-29,2019-11-12,07:10:00,
1058,1091,39,-27,2018-02-14,06:27:00,
1927,839,28,-19,2018-08-24,07:17:00,62
1766,691,13,-30,2018-11-14,05:16:00,94
1703,437,45,-8,2021-04-07,00:17:00,
929,1572,42,-41,2020-07-25,00:59:00,
572,1469,16,-41,2018-03-02,00:33:00,62
1483,1114,42,-8,2018-05-16,06:15:00,159
479,1422,11,-23,2021-02-08,05:32:00,
1211,1893,23,-17,2020-12-11,00:09:00,
1538,522,12,-37,2019-08-02,04:11:00,
1338,1287,28,-37,2020-11-05,06:43:00,
633,235,24,-26,2019-11-24,07:00:00,18
1773,1683,10,-6,2020-08-30,03:37:00,
1945,1341,19,-6,2020-05-11,04:00:00,
1600,1195,10,-34,2019-10-03,06:43:00,
785,1970,34,-19,2020-11-02,05:36:00,104
214,543,32,-7,2018-10-31,02:04:00,
1662,1037,29,-35,2021-10-11,03:52:00,
1762,587,32,-45,2021-10-12,03:43:00,
534,371,34,-25,2018-05-30,07:05:00,
1628,1256,13,-9,2018-04-11,07:42:00,
1420,459,30,-17,2020-03-30,06:40:00,
1367,1679,15,-28,2020-09-25,04:10:00,
822,934,39,-13,2021-02-02,01:57:00,
1181,336,41,-21,2020-04-16,04:31:00,
796,1729,43,-14,2021-07-19,06:28:00,
976,1065,43,-21,2021-05-07,00:02:00,
1428,1345,38,-15,2020-05-29,05:32:00,
1237,226,13,-39,2021-03-21,07:24:00,
1348,1268,35,-43,2018-05-29,04:49:00,
447,1405,12,-16,2020-06-08,06:11:00,
1317,981,28,-43,2021-01-03,00:44:00,
972,1158,40,-30,2018-05-25,01:34:00,
1361,1729,17,-42,2018-12-31,00:50:00,
1020,1544,19,-13,2020-10-12,07:50:00,
859,1813,22,-29,2018-01-31,05:08:00,
1340,1391,15,-30,2018-12-19,07:17:00,177
1466,2002,30,-8,2018-05-29,00:47:00,
359,635,31,-28,2021-01-22,05:49:00,
1947,776,29,-26,2020-03-13,00:39:00,
893,451,34,-40,2019-01-24,07:25:00,170
1070,1898,34,-23,2018-11-24,04:27:00,
1638,1570,14,-34,2020-06-21,06:40:00,137
213,601,29,-43,2018-11-02,05:08:00,
1259,1483,35,-11,2020-07-27,04:00:00,
1480,569,22,-11,2019-12-11,03:31:00,
359,1180,42,-27,2019-08-19,05:28:00,184
1666,1356,15,-24,2021-08-16,06:16:00,
725,626,14,-42,2019-12-26,02:37:00,
1665,1796,16,-7,2020-09-30,00:16:00,68
117,1395,23,-39,2019-03-05,05:37:00,
913,363,10,-29,2019-10-05,07:11:00,5
1875,539,36,-16,2020-12-11,03:16:00,
