technology,cost,max_level,prerequisite,prereq_level,mod_damage,mod_hit_speed,mod_radius,mod_spawn_damage,mod_lifetime,description
Robotics,2155,7,Computers,5,2,1,3,1,1,Robotics modifies the cards with the following modifiers: Damage +2 Hit speed +1 Radius +3 Spawn damage +1 Lifetime +1
Rocketry,1410,4,Radio,4,3,,2,,,Rocketry modifies the cards with the following modifiers: Damage +3  Radius +2  
Sailing,50,2,,,1,2,2,,2,Sailing modifies the cards with the following modifiers: Damage +1 Hit speed +2 Radius +2  Lifetime +2
Sanitation,970,5,Scientific Theory,5,,4,2,,1,Sanitation modifies the cards with the following modifiers:   Hit speed +4 Radius +2  Lifetime +1
Satellites,1850,3,Rocketry,3,2,2,2,,2,Satellites modifies the cards with the following modifiers: Damage +2 Hit speed +2 Radius +2  Lifetime +2
Scientific Theory,845,6,Banking,1,1,5,1,1,2,Scientific Theory modifies the cards with the following modifiers: Damage +1 Hit speed +5 Radius +1 Spawn damage +1 Lifetime +2
Shipbuilding,200,5,Sailing,1,,2,,,2,Shipbuilding modifies the cards with the following modifiers:   Hit speed +2   Lifetime +2
Siege Tactics,660,3,Castles,5,2,,,,,Siege Tactics modifies the cards with the following modifiers: Damage +2    
Square Rigging,660,3,Cartography,1,2,,,,,Square Rigging modifies the cards with the following modifiers: Damage +2    
Stealth Technology,1850,3,Synthetic Materials,5,2,2,2,,2,Stealth Technology modifies the cards with the following modifiers: Damage +2 Hit speed +2 Radius +2  Lifetime +2
Steam Power,970,5,Industrialization,5,,4,2,,1,Steam Power modifies the cards with the following modifiers:   Hit speed +4 Radius +2  Lifetime +1
Steel,1140,7,Rifling,4,2,,,,,Steel modifies the cards with the following modifiers: Damage +2    
Stirrups,390,6,Horseback Riding,1,1,,2,,,Stirrups modifies the cards with the following modifiers: Damage +1  Radius +2  
Synthetic Materials,1580,6,Plastics,3,1,2,,,2,Synthetic Materials modifies the cards with the following modifiers: Damage +1 Hit speed +2   Lifetime +2
Telecommunications,1850,3,Computers,5,2,2,2,,2,Telecommunications modifies the cards with the following modifiers: Damage +2 Hit speed +2 Radius +2  Lifetime +2
Wheel,80,4,Mining,4,3,2,,,2,Wheel modifies the cards with the following modifiers: Damage +3 Hit speed +2   Lifetime +2
Writing,50,2,Pottery,4,1,2,2,,2,Writing modifies the cards with the following modifiers: Damage +1 Hit speed +2 Radius +2  Lifetime +2
