player,clan,role,date
#89RQQV2U9,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-05
#92YQYU0L2,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-15
#2QYC8YLLG,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-24
#2VLY2CLPY,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-22
#99P9VLCR2,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-30
#LY8R8RY9,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-08
#8GR2GVLJ0,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-23
#P9P2GL8,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-01
#9PRP2URC,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-28
#2LJ82YCVR,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-28
#98UCCVRRJ,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-31
#8J2PRR9Y,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-04
#92828YYCU,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-28
#9QYRCPJP2,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-14
#90JYC28PR,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-18
#880UQUUQC,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-27
#2GQVLYV0U,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-17
#2CQV02CYR,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-23
#888P9C9UV,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-16
#J8QPJY8Q,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-07
#2GPVQYQLG,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-28
#88UPCYJVC,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-19
#2JRYUGY9V,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-23
#YUU8RCCRQ,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-06
#CGLRRPYL,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-25
#8UGL9GLL,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-01
#99V99R2PV,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-18
#28PQ9GJG9,#2CQQVQCU,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-11-07
#2VV0RRVG9,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-22
#2YQP98L8R,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-06
#22VYU02RR,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-22
#22RPYRV99,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-04
#JY9JLYRR,#2CQQVQCU,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-15
#YYR8V8U8Y,#2CQQVQCU,leader: They have the same privileges as Co-leaders however the Leader is the only player in the Clan who can kick and demote everyone. Transferring leadership of a clan will demote the transferring player's role to Co-Leader and their desired player will take the Leader role.,2021-11-07
#Y9JGY28U,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-17
#LYG9QGGQ,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-01
#8P0URCRV,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-07
#LRYQU2V,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-04
#2VJQVPVR,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-30
#RYRGV0CY,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-19
#VY9J8ULV,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-22
#2L2QGJQQ,#L0YJ02YL,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-29
#R90PRV0PY,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-16
#U800U9U9,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-25
#89RYUPQ0V,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-23
#9QY0RR29,#L0YJ02YL,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-06
#98R0LCGG,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-31
#8J8QCGLR,#L0YJ02YL,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-09
#Q88YUVLG,#L0YJ02YL,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-16
#82UVCUR2R,#L0YJ02YL,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-18
#9RR9ULL99,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-12
#9UCCQ2Q9R,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-27
#PG0QC29YR,#L0YJ02YL,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-03
#G22U2G8J8,#L0YJ02YL,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-30
#2GRQQU02,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-22
#9RGPC2GG,#L0YJ02YL,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-27
#CCQCU90L,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-10
#P9LQRJVL8,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-03
#2YJLLJYGP,#L0YJ02YL,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-05
#2G0JP98QR,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-03
#J2PVLP8J,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-24
#CQ8CPPG9,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-10
#9LYUG09,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-29
#98RRY80YR,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-23
#2CYQJGCR,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-07
#PU0GY8Q9,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-17
#2CQVC0899,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-09
#89UV8ULY,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-15
#PUU200YL8,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-20
#PV209YR,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-13
#GLVCVLJP,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-11-10
#2VV9GUYVR,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-13
#RV29VYG,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-23
#PJGGRCPC2,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-19
#92VUJ99VQ,#L0YJ02YL,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-07
#2VRVVJL,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-26
#L00C8Y9Q2,#L0YJ02YL,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-24
#2LRU8YJ2P,#L0YJ02YL,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-21
#Y22PJ9V9J,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-11-02
#20P8LJPU9,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-03
#9LGYYV9G,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-06
#20GQRV8G9,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-01
#G029CV9G,#L0YJ02YL,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-15
#QL8CJUYQ,#L0YJ02YL,leader: They have the same privileges as Co-leaders however the Leader is the only player in the Clan who can kick and demote everyone. Transferring leadership of a clan will demote the transferring player's role to Co-Leader and their desired player will take the Leader role.,2021-09-18
#2PUJ2URC,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-09
#LURU9JU,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-11
#RVL8JP,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-26
#8PQ9QCPL,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-12
#PLL8Q9LVR,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-31
#2Y2PPQ0JV,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-17
#QJYV9L9Q,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-26
#2JUPU0LPV,#28V2QQ9C,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-09
#9QLL8QQQ,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-05
#VQ9QRYRR,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-25
#2R80RVPP,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-09
#YRV9PUGUR,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-21
#QRU0V0GQ,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-05
#2LVJR89V0,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-10
#Y0JVJL9P,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-12
#G82LPRJG,#28V2QQ9C,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-13
#2VU9YGCGV,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-15
#9JJ0G922G,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-03
#2GP88YU0,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-09
#229P2QYL0,#28V2QQ9C,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-20
#8VPQUG89,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-16
#2PVCG9GQ,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-09
#9P2JPCY9U,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-05
#Y2LJYGUP,#28V2QQ9C,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-16
#QPR2LQ02,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-10
#YU28V0LP,#28V2QQ9C,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-09
#80C09G8G,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-05
#PJ8RJPRPR,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-12
#C8U9GRVY,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-18
#Y9G2LLG02,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-11
#2GJ0R2RL9,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-29
#8YVYGCP,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-14
#JP9JVC9Y,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-12
#2PYUQL2VG,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-16
#8YL988LL8,#28V2QQ9C,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-17
