player_tag,quest_id,quest_title,quest_description,quest_requirement,quest_depends,unlock
#2QY9CYJVY,50,Jacqueline,Funcheon,Donate 689 gems,103,2020-01-04
#P82UJJGLG,93,Ferdinanda,Colbourn,Donate 972 gold,,2019-01-10
#20P8LJPU9,184,Shantee,Turri,Donate 326 gems,,2019-07-06
#98RRY80YR,178,Irena,Plaide,Donate 146 gems,,2019-01-26
#PL0G808QU,112,Erastus,Flemming,Donate 177 gold,44,2020-04-06
#9LYUG09,30,Monah,Alldread,Donate 616 gems,,2021-08-23
#UGRV2UJG,101,Frank,Syfax,Donate 424 gems,46,2019-03-16
#Q0CPPQC9Q,39,Roman,Lodin,Donate 574 gems,,2019-11-20
#Y9G2LLG02,175,Wat,Deighan,Donate 236 gold,27,2020-06-01
#2V20QJVR,21,Batholomew,Sibbons,Donate 23 gold,,2021-06-09
#2VP9LL2JP,158,Jimmy,Petschelt,Donate 1326 gems,,2019-04-28
#2CQG98PP0,88,Alasteir,Goundsy,Donate 207 gems,,2019-02-12
#2GRQQU02,66,Trace,Listone,Donate 673 gems,115,2020-12-19
#8UJQPR22,61,Marion,Mayor,Donate 845 gold,,2021-07-22
#QVQPJCQR,171,Holmes,Harnwell,Donate 1296 gold,,2019-05-08
#9U0C0LRL9,106,Avram,Thraves,Donate 557 gold,,2021-05-08
#98G8PYUQ2,6,Dode,Delepine,Donate 53 gold,131,2021-07-29
#UP9QQ9VY,191,Regan,Clues,Donate 762 gold,,2018-12-22
#2PJQ0U9U,120,Zeb,Dikle,Donate 1340 gold,145,2021-11-14
#8UQVQ02G,60,Sherlocke,Fairs,Donate 504 gems,,2020-12-23
#YG2GY9QU,107,Lynette,Kidman,Donate 667 gold,95,2021-06-19
#YYJUJUQG,47,Melisandra,Franklin,Donate 1192 gems,13,2021-07-27
#8QPCGVP2Y,117,Carlee,Blasetti,Donate 557 gems,,2020-09-28
#8Y9L200U,146,Addie,Murphey,Donate 929 gems,,2020-10-26
#VR29JCCG,142,Katerina,Snellman,Donate 1250 gems,158,2020-10-18
#PLLC2VG,155,Wyn,Kyteley,Donate 748 gold,78,2019-01-12
#8YULR0QR,6,Dode,Delepine,Donate 53 gold,131,2019-01-14
#92828YYCU,13,Shelagh,Balentyne,Donate 491 gems,,2018-12-12
#QCJQYP0C,99,Camila,Jamblin,Donate 1281 gems,157,2021-11-11
#8GQ0P22RJ,43,Kareem,Burtwell,Donate 1402 gems,194,2019-07-07
#RGP2VC9P,151,Talbot,Ovill,Donate 1244 gems,148,2020-09-21
#2YLQ22YQV,34,Lotte,Duckels,Donate 311 gems,,2020-01-16
#8VLJPL8L2,15,Izak,Killiner,Donate 1432 gems,,2020-11-27
#CQ82JUC,33,Roma,Zecchinelli,Donate 336 gems,198,2021-06-15
#GGCQ8GQR,125,Euphemia,Paynes,Donate 244 gold,,2019-09-26
#V2PYVG8R,70,Madelena,Jeffree,Donate 431 gems,148,2019-12-08
#8VUPVJ2R,113,Oliver,Bethel,Donate 376 gold,133,2020-01-14
#98RRY80YR,84,Cindra,Farbrace,Donate 81 gold,,2019-08-13
#2P2PCQ0JL,175,Wat,Deighan,Donate 236 gold,27,2020-11-29
#20P8LJPU9,139,Tory,Spinella,Donate 783 gems,117,2021-10-02
#J8R89YC8,141,Cecile,Gammell,Donate 183 gems,192,2019-04-19
#CCQCU90L,102,Bennett,Mattes,Donate 276 gems,,2021-10-31
#88VR0GVPL,66,Trace,Listone,Donate 673 gems,115,2020-11-08
#8PCCYQVG,63,Jed,Lanham,Donate 1119 gems,,2021-08-01
#UQJ9LUP,146,Addie,Murphey,Donate 929 gems,,2020-04-01
#PYR9GLQU0,73,Hoyt,Shingfield,Donate 653 gems,,2019-08-09
#2VV9GUYVR,92,Adolphe,Pally,Donate 1000 gold,,2019-12-09
#8PUG0JQ9,130,Elmo,Gluyas,Donate 107 gems,150,2019-07-10
#PG9CR2RC,111,Rickie,Hullbrook,Donate 1372 gold,93,2020-08-20
#PC9JLQR,6,Dode,Delepine,Donate 53 gold,131,2020-07-01
#8CUL88Y08,97,Lonny,Tumielli,Donate 1342 gold,,2020-01-07
#2LRU8YJ2P,4,Alexandre,Dartan,Donate 1062 gold,14,2020-08-18
#P29Q09C9V,40,Burlie,Larcombe,Donate 353 gold,,2021-04-13
#8RRCVCGP,81,Loutitia,Ashmore,Donate 719 gold,151,2021-01-21
#P99PJP8Y2,121,Shir,Shipman,Donate 80 gems,,2020-03-15
#P8C8JRV,121,Shir,Shipman,Donate 80 gems,,2021-08-09
#Y92G098C,91,Xena,Weson,Donate 400 gold,133,2020-12-22
#Y2PULV0LV,117,Carlee,Blasetti,Donate 557 gems,,2020-05-21
#8PGR0RPCU,30,Monah,Alldread,Donate 616 gems,,2020-05-03
#QPQVLYJJ,133,Nicolis,Cornes,Donate 1447 gems,122,2021-05-15
#VR29JCCG,103,Hanna,Deares,Donate 988 gems,,2021-06-25
#PCRRYUQ88,10,Barbra,Fleischmann,Donate 174 gold,,2020-02-17
#2VV0RRVG9,179,Craggie,McElwee,Donate 271 gems,,2020-06-04
#2PJP8LJC,104,Ansel,Hammant,Donate 37 gems,46,2021-05-09
#892JJYVC,7,Annalise,Reinisch,Donate 1191 gold,31,2020-12-05
#89JV98089,195,Hester,Cruickshank,Donate 1134 gold,,2019-10-18
#UGRV2UJG,137,Zollie,Fidell,Donate 898 gold,,2020-03-23
#202C2CU0U,190,Lavena,Scarth,Donate 528 gold,,2019-04-22
#P98828PU,36,Tammi,Colgrave,Donate 632 gold,52,2019-10-09
#YLRU2LLYP,151,Talbot,Ovill,Donate 1244 gems,148,2021-07-01
#8C9CR9YG,54,Ernestine,Perrott,Donate 1389 gems,,2020-08-29
#2CRQQ2CVP,28,Templeton,Baiden,Donate 1486 gems,,2018-12-21
#8L009JURJ,57,Andrus,Le Estut,Donate 231 gems,,2021-09-02
#82LP8CPJ8,72,Dorine,Camilleri,Donate 980 gold,,2020-11-10
#82UVCUR2R,70,Madelena,Jeffree,Donate 431 gems,148,2019-09-25
#LY00J89PJ,70,Madelena,Jeffree,Donate 431 gems,148,2021-03-07
#8R2JCGPC,133,Nicolis,Cornes,Donate 1447 gems,122,2021-05-12
#89JV98089,152,Marielle,Justice,Donate 1142 gold,192,2019-11-17
#QP022PLJV,166,Bernadine,Hutchence,Donate 452 gold,174,2020-07-30
#Q89VPVUP8,11,Lilyan,Gasnell,Donate 427 gold,,2021-03-17
#Y9G2LLG02,64,Florian,Genty,Donate 488 gems,,2020-12-29
#P0RR0VQLC,166,Bernadine,Hutchence,Donate 452 gold,174,2021-11-21
#L98JYVL,147,Ora,Moffett,Donate 1426 gold,,2019-02-28
#2Y0VLG8RY,24,Hans,Spiers,Donate 820 gems,,2020-01-12
#PLLC2VG,82,Cornall,Meeny,Donate 620 gems,95,2020-05-07
#2GJC9PR28,83,Georgy,O'Reilly,Donate 448 gold,153,2021-01-04
#YUU8RCCRQ,109,Winfield,Garaghan,Donate 1245 gold,,2020-06-21
#29VQ2G8G,144,Archibold,Okker,Donate 350 gold,,2021-05-27
#90PUP92J,158,Jimmy,Petschelt,Donate 1326 gems,,2020-07-16
#2ULYLVQ,150,Maggee,Noraway,Donate 852 gems,155,2021-04-02
#80V0290C8,165,Mireielle,Durkin,Donate 589 gold,,2020-04-04
#89PL0YV,171,Holmes,Harnwell,Donate 1296 gold,,2020-03-04
#2GJC9PR28,30,Monah,Alldread,Donate 616 gems,,2020-04-17
#92LRGLQ2C,109,Winfield,Garaghan,Donate 1245 gold,,2019-07-25
#2Y8LPPUG8,30,Monah,Alldread,Donate 616 gems,,2021-08-28
#9LGYYV9G,127,Misti,Winterbotham,Donate 1176 gems,187,2021-04-01
#JPQPPUJ,178,Irena,Plaide,Donate 146 gems,,2021-08-19
#PJJURULY,63,Jed,Lanham,Donate 1119 gems,,2020-06-16
#L2UR0Y0J,2,Elmo,Feitosa,Donate 645 gold,,2019-08-23
#CYRL0RY2,47,Melisandra,Franklin,Donate 1192 gems,13,2020-07-20
#GY2VG2U0,172,Kelvin,Guilbert,Donate 758 gold,,2021-02-03
#29VQ2G8G,184,Shantee,Turri,Donate 326 gems,,2021-04-10
#CYQQPUU2,117,Carlee,Blasetti,Donate 557 gems,,2021-02-15
#22U8RQ908,51,Tate,Sauvage,Donate 581 gems,94,2021-06-17
#9QLJU0PJ,193,Dewey,Fearnehough,Donate 1225 gold,,2019-06-04
#P2CYJ0VU,105,Lane,McIlhone,Donate 280 gold,110,2021-07-12
#909UCGUYJ,118,Neil,Kobpac,Donate 275 gems,,2021-02-23
#G82UQ9UP,186,Petey,Kenington,Donate 1009 gems,,2020-01-04
#2G9VQL8U8,122,Bryan,Eccleston,Donate 1047 gems,,2020-02-14
#2Y8CJ2LJC,157,Romain,Bater,Donate 1470 gems,,2019-08-09
#8YGVPR9Y0,54,Ernestine,Perrott,Donate 1389 gems,,2019-02-08
#LQ2LRL29,157,Romain,Bater,Donate 1470 gems,,2021-08-07
#2GJ0R2RL9,79,Alta,Addinall,Donate 1385 gold,9,2019-06-24
#2J9LPRYR,62,Taryn,Foxhall,Donate 367 gems,,2019-07-01
#RUC9GCUL,184,Shantee,Turri,Donate 326 gems,,2020-01-31
#20CLG9VGL,25,Hephzibah,Kamall,Donate 491 gems,,2021-05-13
#2J2LVPY9L,92,Adolphe,Pally,Donate 1000 gold,,2020-08-17
#92LRGLQ2C,162,Sherlock,Buckett,Donate 708 gold,,2020-08-04
#8VLJPL8L2,191,Regan,Clues,Donate 762 gold,,2020-07-23
#L98JYVL,56,Benita,Heinsen,Donate 617 gems,,2019-01-12
#2Q9VJQL8U,92,Adolphe,Pally,Donate 1000 gold,,2021-04-28
#QPR2LQ02,176,Rozalin,Tapper,Donate 1462 gold,,2021-03-24
#PCC2V0CV2,200,Letizia,Arno,Donate 1160 gold,110,2021-08-14
#9P2LCUPU,45,Michel,Elphinston,Donate 383 gold,55,2019-01-11
#29Y8YPVLV,198,Garrik,Canepe,Donate 1035 gold,,2021-10-02
#8C9RQYV2J,181,Marrilee,McClunaghan,Donate 845 gold,,2020-04-18
#202U2J08Q,141,Cecile,Gammell,Donate 183 gems,192,2019-01-13
#20CLG9VGL,13,Shelagh,Balentyne,Donate 491 gems,,2019-09-15
#YLRU2LLYP,61,Marion,Mayor,Donate 845 gold,,2021-06-01
#2RL2R0J0C,141,Cecile,Gammell,Donate 183 gems,192,2021-04-29
#8ULLYVCY9,55,Sidoney,Kruse,Donate 699 gold,,2021-07-20
#2PURUJPQ,101,Frank,Syfax,Donate 424 gems,46,2021-10-02
#2Y8LPPUG8,155,Wyn,Kyteley,Donate 748 gold,78,2020-09-25
#9YUUVJ08G,153,Lindon,Labone,Donate 487 gold,165,2019-10-08
#2JRYUGY9V,125,Euphemia,Paynes,Donate 244 gold,,2021-03-07
#C09PV2RV,186,Petey,Kenington,Donate 1009 gems,,2019-07-15
#2GJ0R2RL9,129,Cob,Thackeray,Donate 600 gems,,2019-04-26
#99QVP8J8Q,124,Tiffi,Authers,Donate 1495 gems,,2019-11-26
#2LJ82YCVR,19,Bessy,Isaacson,Donate 1318 gold,43,2020-02-29
#9CRJ0YUVL,169,Mattie,Wordsley,Donate 562 gems,115,2020-06-10
#UY900V,152,Marielle,Justice,Donate 1142 gold,192,2020-07-27
#GQ20CGP,59,Emelia,Ismead,Donate 1231 gold,163,2019-01-21
#8L009JURJ,180,Meier,Ashfull,Donate 594 gems,82,2021-02-19
#RCYQYPLG,184,Shantee,Turri,Donate 326 gems,,2019-01-18
#8Y9QVU2QJ,33,Roma,Zecchinelli,Donate 336 gems,198,2018-12-10
#LYJLLPQR,156,Shel,Twiggs,Donate 879 gems,,2018-12-25
#CQ0YGRU,48,Eduardo,Winskill,Donate 217 gold,,2019-01-11
#2J888QUGQ,39,Roman,Lodin,Donate 574 gems,,2020-07-28
#8RRJCVQR,196,Carlyle,Kauble,Donate 901 gems,18,2021-04-30
#9QYRCPJP2,180,Meier,Ashfull,Donate 594 gems,82,2019-10-09
#80V0JULJ,161,Birgitta,Tippin,Donate 1435 gold,,2019-06-03
#Q0CVCRQR,171,Holmes,Harnwell,Donate 1296 gold,,2021-03-28
#2VUJQQVGR,30,Monah,Alldread,Donate 616 gems,,2020-04-17
#29922Y2CJ,93,Ferdinanda,Colbourn,Donate 972 gold,,2019-05-16
#80V8U9U0J,153,Lindon,Labone,Donate 487 gold,165,2020-06-04
#RVL8JP,98,Roberto,Aspinal,Donate 751 gold,,2020-08-03
#2092CR2RV,152,Marielle,Justice,Donate 1142 gold,192,2021-05-17
#U2QP29R9,157,Romain,Bater,Donate 1470 gems,,2020-08-31
#RC2UPGP8,92,Adolphe,Pally,Donate 1000 gold,,2021-11-11
#GGL90Q9J,22,Beauregard,Blazevic,Donate 663 gold,17,2021-08-24
#UPRJQQ89,181,Marrilee,McClunaghan,Donate 845 gold,,2019-11-15
#22U2C2PP0,7,Annalise,Reinisch,Donate 1191 gold,31,2019-04-20
#R90PRV0PY,198,Garrik,Canepe,Donate 1035 gold,,2020-06-09
#82UVCUR2R,199,Donovan,Schops,Donate 300 gems,,2020-02-10
#9CUYY8,134,Fania,Rubinovitch,Donate 849 gold,40,2020-10-21
#LP0LQQL,64,Florian,Genty,Donate 488 gems,,2020-10-20
#28PQ9GJG9,121,Shir,Shipman,Donate 80 gems,,2020-11-17
#2828UJVPG,4,Alexandre,Dartan,Donate 1062 gold,14,2019-06-27
#PY9CULY,29,Biron,Dummer,Donate 390 gold,,2019-05-18
#9Q8QUCUC,117,Carlee,Blasetti,Donate 557 gems,,2021-04-11
#20L8Y9QY,64,Florian,Genty,Donate 488 gems,,2019-09-09
#UCYRJRL9,177,Merci,Moxson,Donate 893 gems,9,2021-09-12
#8GR2GVLJ0,163,Abe,Sackler,Donate 1128 gold,,2020-12-16
#Q88YUVLG,136,Jewelle,Poolton,Donate 1192 gems,,2021-04-22
#L09YGU9,114,Miran,Spillett,Donate 1317 gems,,2019-01-29
#89RYUPQ0V,163,Abe,Sackler,Donate 1128 gold,,2021-02-07
#9JCVUYP,12,Deerdre,Ballsdon,Donate 829 gems,140,2019-11-28
#RYRGV0CY,176,Rozalin,Tapper,Donate 1462 gold,,2021-03-11
#LY8R8RY9,30,Monah,Alldread,Donate 616 gems,,2019-09-07
#9VY020RQV,153,Lindon,Labone,Donate 487 gold,165,2020-02-22
#UP9QQ9VY,192,Freddie,Watmore,Donate 1272 gold,,2021-10-28
#LYG9QGGQ,135,Corrinne,Hamley,Donate 1268 gold,,2019-01-29
#YLQQGJ2Q,64,Florian,Genty,Donate 488 gems,,2021-01-18
#G029CV9G,155,Wyn,Kyteley,Donate 748 gold,78,2019-06-26
#VUUVPJUY,7,Annalise,Reinisch,Donate 1191 gold,31,2019-10-06
#GG8UC0CP,158,Jimmy,Petschelt,Donate 1326 gems,,2021-03-22
#GJJ2Y098J,192,Freddie,Watmore,Donate 1272 gold,,2020-04-07
#2CCQUJJR,80,Reinold,Wigmore,Donate 124 gold,37,2020-08-11
#YLUY9YQ0,43,Kareem,Burtwell,Donate 1402 gems,194,2018-12-12
#P0RR0VQLC,189,Gabey,Filipchikov,Donate 162 gold,,2021-06-10
#GVJLCYC,140,Rusty,Helleker,Donate 255 gold,87,2019-03-07
#PU0GY8Q9,98,Roberto,Aspinal,Donate 751 gold,,2019-01-05
#2QYC8YLLG,149,Dorelle,Joontjes,Donate 129 gems,,2021-06-13
#8CUL88Y08,158,Jimmy,Petschelt,Donate 1326 gems,,2020-12-27
#P8J2V2CQ,136,Jewelle,Poolton,Donate 1192 gems,,2020-01-09
#JUVVY0LU,121,Shir,Shipman,Donate 80 gems,,2021-01-25
#2Q9JG29RL,4,Alexandre,Dartan,Donate 1062 gold,14,2021-05-25
#2U2JJ098Q,53,Meagan,Shalliker,Donate 1040 gems,,2021-07-29
#2CRQQ2CVP,22,Beauregard,Blazevic,Donate 663 gold,17,2019-10-13
#YG2GY9QU,173,Valaree,Caesmans,Donate 1391 gems,,2020-10-25
#2YUVY0JL0,42,Lu,Reeve,Donate 289 gems,,2019-01-15
#GLLCVJJP,135,Corrinne,Hamley,Donate 1268 gold,,2021-03-31
#2CUGV2Y98,93,Ferdinanda,Colbourn,Donate 972 gold,,2020-05-13
#98CP90GJ9,109,Winfield,Garaghan,Donate 1245 gold,,2019-12-05
#880UQUUQC,140,Rusty,Helleker,Donate 255 gold,87,2019-06-25
#888P9C9UV,77,Alysia,Harrow,Donate 102 gold,146,2019-02-11
#9UQPRG0RU,18,Brit,Primrose,Donate 98 gems,,2019-01-27
#8R8CY9G0,159,Florry,Rainbow,Donate 897 gems,,2019-07-28
#PG88RGQY8,76,Mattheus,Spinige,Donate 1303 gems,49,2019-07-01
#228J88L89,168,Evvie,Shortin,Donate 1196 gems,,2021-11-05
#2UJP2U2UP,54,Ernestine,Perrott,Donate 1389 gems,,2019-05-13
#8RVQVVV2,96,Anneliese,Lightfoot,Donate 1060 gems,,2019-02-03
#29VGUQL00,129,Cob,Thackeray,Donate 600 gems,,2021-09-27
#2GPURRRCG,47,Melisandra,Franklin,Donate 1192 gems,13,2019-05-11
#L0L9VJLG9,38,Roma,Grubey,Donate 720 gems,,2019-12-31
#99QVP8J8Q,46,Carmel,Kermitt,Donate 673 gems,,2021-03-03
#VQJ9UUP,194,Patty,Driutti,Donate 1410 gold,41,2020-01-15
#98CP90GJ9,44,Nixie,Beevis,Donate 505 gems,60,2019-08-28
#YG2GY9QU,4,Alexandre,Dartan,Donate 1062 gold,14,2019-05-10
#2YVJVGP02,93,Ferdinanda,Colbourn,Donate 972 gold,,2020-02-05
#2PPJPULJ,40,Burlie,Larcombe,Donate 353 gold,,2019-06-09
#VPUQYUY,165,Mireielle,Durkin,Donate 589 gold,,2019-11-23
#80RGP2JPR,2,Elmo,Feitosa,Donate 645 gold,,2021-07-20
#2LVJR89V0,177,Merci,Moxson,Donate 893 gems,9,2019-02-15
#9P8220PUU,117,Carlee,Blasetti,Donate 557 gems,,2020-11-03
#PUU200YL8,106,Avram,Thraves,Donate 557 gold,,2020-08-14
#228J02890,80,Reinold,Wigmore,Donate 124 gold,37,2020-12-16
#PC99QUQ,43,Kareem,Burtwell,Donate 1402 gems,194,2020-07-20
#L00C8Y9Q2,171,Holmes,Harnwell,Donate 1296 gold,,2020-08-10
#PCC2V0CV2,63,Jed,Lanham,Donate 1119 gems,,2020-05-05
#2Q80QPGCU,98,Roberto,Aspinal,Donate 751 gold,,2021-03-17
#2UV9020RY,92,Adolphe,Pally,Donate 1000 gold,,2020-01-08
#LCCGJQJC,196,Carlyle,Kauble,Donate 901 gems,18,2020-01-09
#8L200J88G,138,Alard,Granger,Donate 1143 gold,,2019-06-19
#92YV2YRGR,114,Miran,Spillett,Donate 1317 gems,,2020-08-13
#8PYGPYJPR,76,Mattheus,Spinige,Donate 1303 gems,49,2018-12-25
#QR8JQ8LQ,84,Cindra,Farbrace,Donate 81 gold,,2019-10-04
#8P2CR00L,108,Margarita,Fraczak,Donate 1250 gold,,2021-11-07
#CGLRRPYL,77,Alysia,Harrow,Donate 102 gold,146,2021-07-25
#C09PV2RV,18,Brit,Primrose,Donate 98 gems,,2021-08-26
#J8J0Q20Y,161,Birgitta,Tippin,Donate 1435 gold,,2020-05-15
#28Y2V0C,70,Madelena,Jeffree,Donate 431 gems,148,2020-10-04
#80C09G8G,66,Trace,Listone,Donate 673 gems,115,2021-02-20
#2PCYY2QCP,136,Jewelle,Poolton,Donate 1192 gems,,2020-08-02
#P8QP0LUPV,183,Margarethe,Byas,Donate 1439 gold,162,2020-10-23
#9CJP9GRY,31,Helyn,Corhard,Donate 1335 gems,54,2020-12-01
#8J8QCGLR,65,Royall,Peacher,Donate 397 gold,,2018-12-26
#R99UYRL,181,Marrilee,McClunaghan,Donate 845 gold,,2019-12-12
#GUPPRCQ,110,Vincents,Leathard,Donate 618 gold,10,2018-12-26
#QUJR89R,34,Lotte,Duckels,Donate 311 gems,,2021-03-13
#8YRYV80,151,Talbot,Ovill,Donate 1244 gems,148,2021-02-18
#GL9299QG,154,Darill,Yarker,Donate 1222 gold,116,2019-02-17
#P82UJJGLG,174,Josiah,Clulow,Donate 1074 gold,,2020-09-23
#PJC0QVC9U,48,Eduardo,Winskill,Donate 217 gold,,2020-02-22
#8PUG0JQ9,22,Beauregard,Blazevic,Donate 663 gold,17,2020-07-31
#QQVYGQ0Y,51,Tate,Sauvage,Donate 581 gems,94,2021-08-21
#8YPRCLPQ,90,Laurella,Lyffe,Donate 98 gems,182,2021-06-24
#8YQVU90,135,Corrinne,Hamley,Donate 1268 gold,,2021-03-06
#Y8G9CU2LV,182,Dell,Jude,Donate 920 gems,,2020-09-15
#989L99QLC,36,Tammi,Colgrave,Donate 632 gold,52,2020-06-02
#28GG9QJPY,118,Neil,Kobpac,Donate 275 gems,,2019-06-05
#92VY9UPG,42,Lu,Reeve,Donate 289 gems,,2020-10-30
#QQCCYJLY,84,Cindra,Farbrace,Donate 81 gold,,2019-12-25
#GUJ2PLG89,111,Rickie,Hullbrook,Donate 1372 gold,93,2020-07-12
#90UL09LP,155,Wyn,Kyteley,Donate 748 gold,78,2019-09-24
#92VUJ99VQ,123,Theo,Wolfers,Donate 210 gems,,2021-10-08
#2LJ82YCVR,169,Mattie,Wordsley,Donate 562 gems,115,2019-02-22
#29VLJP0UC,9,Sharyl,Gimert,Donate 863 gold,,2019-10-10
#8GLQ9G0RG,35,Tammi,Marchant,Donate 455 gold,,2020-05-02
#98CP90GJ9,194,Patty,Driutti,Donate 1410 gold,41,2020-08-20
#GL9299QG,112,Erastus,Flemming,Donate 177 gold,44,2020-06-02
#JUVVY0LU,61,Marion,Mayor,Donate 845 gold,,2021-07-20
#2V2QJLU2Y,72,Dorine,Camilleri,Donate 980 gold,,2020-02-02
#CYRL0RY2,82,Cornall,Meeny,Donate 620 gems,95,2018-12-11
#QCJQCJ8G,40,Burlie,Larcombe,Donate 353 gold,,2020-12-22
#GQ20CGP,25,Hephzibah,Kamall,Donate 491 gems,,2021-06-28
#80RGP2JPR,137,Zollie,Fidell,Donate 898 gold,,2019-11-24
#2Y8CJ2LJC,178,Irena,Plaide,Donate 146 gems,,2021-10-29
#YJ8R2Y9L,182,Dell,Jude,Donate 920 gems,,2021-03-01
#2CVLVGVRL,65,Royall,Peacher,Donate 397 gold,,2020-03-08
#2G9PQUGY,113,Oliver,Bethel,Donate 376 gold,133,2021-04-16
#8UGL9GLL,83,Georgy,O'Reilly,Donate 448 gold,153,2020-02-19
#VQJ9UUP,118,Neil,Kobpac,Donate 275 gems,,2019-08-26
#28JUC89JV,151,Talbot,Ovill,Donate 1244 gems,148,2021-08-15
