id,sender,receiver,text,date,answer
21,#YCPC92CC,#2PVJQC8Y,"Next saturday night we're sending you back to the future!,",2020-10-18,587
22,#2Y2PPQ0JV,#8C9RQYV2J,She's dead... Wrapped in plastic.,2020-09-06,770
23,#PL8QL08,#GRY2909Q,"Since when can weathermen predict the weather, let alone the future?,",2021-07-14,
24,#2LYPPG0Y2,#2P8RV9UQ,"He's a Peeping Tom!,",2021-09-20,488
25,#29VQ2G8G,#CGLRRPYL,"Look, I'm just not ready to ask Lorraine out to the dance, and not you, or anybody else on this planet is gonna make me change my mind.,",2021-03-17,909
26,#8R8CY9G0,#2GPVQYQLG,"Joe, gag on my fat dauber.,",2020-08-08,
27,#8C8QJR9JG,#PL0G808QU,"Harry, is that bag smiling?,",2020-11-11,
28,#C0PPG0,#UGRV2UJG,"I'm from the future. I came here in a Time Machine that you invented. Now I need your help to get back to the year 1985.,",2021-09-20,188
29,#8YVGGVC8P,#8QR8V08YG,"You have shown your usual cunning in getting up just in time for a meal.,",2021-09-16,560
30,#9PYJVPPLV,#8088R0VP,There's nothing quite like urinating in the open air.,2020-08-07,
31,#2P2LVRG99,#2ULYLVQ,I don't wanna talk. I wanna shoot.,2021-06-03,
32,#2VLPYG0RL,#9YUUVJ08G,"All dwarfs are bastards in their father's eyes,",2021-10-20,828
33,#2GPURRRCG,#U2QP29R9,"Biff. What a character. Always trying to get away with something. I've had to stay on top of Biff ever since high school. Although, if it wasn't for him...,",2021-05-30,
34,#2GC2R2P2Y,#8UJQPR22,"Hey, don't try to take this away from me. This is the only thing I've ever been good at. Well, this and timing my farts to a thunderstorm.,",2021-02-28,412
35,#R8000P88,#2LPC0LVPG,J'ai une âme solitaire.,2020-12-09,318
36,#2YLQ22YQV,#RPUU9RY8,"Always pass on what you have learned.,",2021-11-03,
37,#RPUU9RY8,#YQ9QYJGP,"Crazy drunk driver.,",2021-02-10,761
38,#2GPVQYQLG,#889982CQY,"Harry, is that bag smiling?,",2021-07-24,131
39,#QL8CJUYQ,#QR8JQ8LQ,"Am I to understand you're still hanging around with Dr. Emmett Brown, McFly?,",2021-10-13,983
40,#G22U2G8J8,#Q2CGJ8JQ,"Home is behind, the world ahead,",2020-10-23,
41,#LRCPJCGP,#89QYQL20G,"Knowledge could be more valuable than gold, more deadly than a dagger.,",2021-10-11,
42,#9RCYRP2,#GCVVV8YR,"Well, you're safe and sound now, back in good old 1955.,",2021-05-04,797
43,#RCYQYPLG,#YVPYVV9V,"I had a horrible nightmare. I dreamed that I went... back in time. It was terrible.,",2020-09-12,119
44,#2V2PUPJ0,#P82YUQ9QY,"But in this at least thou shalt not defy my will: to rule my own end.,",2020-08-30,227
45,#2VURRCG90,#8Y9VPLLYC,I don't wanna talk. I wanna shoot.,2021-04-27,
46,#8UYL0GGU0,#9V2V2VP,"Who's President of the United States in 1985? Ronald Reagan? The actor? Ha! Then whose vice president? Jerry Lewis?,",2021-02-11,712
47,#889982CQY,#8VLCCYU82,"Calvin? Wh... Why do you keep calling me Calvin?,",2021-01-07,212
48,#PC0YY98G,#8YRJ0928,"Memory is not what the heart desires. That is only a mirror,,",2020-10-28,703
49,#8RRCVCGP,#9289JQPV9,"Maybe you were adopted.,",2021-08-30,34
50,#9U22V0P,#8QYYRUUC9,"Nothing burns like the cold.,",2021-09-28,976
51,#29C2U2QPP,#9RR9ULL99,"The appropriate question is, 'when the hell are they?' You see, Einstein has just become the world's first time traveler! I sent him into the future. One minute into the future to be exact. And at precisely 1:21 a.m. and zero seconds, we shall catch up with him and the time machine.,",2021-11-05,807
52,#PRCV0JUU,#2QCPVQC0Y,"My equipment. That reminds me, Marty. You better not hook up to the amplifier. There's a slight possibility of overload.,",2020-09-30,728
53,#RCYQYPLG,#J9LQGLL8,"The owls are not what they seem.,",2021-08-23,614
54,#GY2VG2U0,#99UVLULJY,"When you play a game of thrones you win or you die.,",2020-08-29,
55,#C9C0R0V8,#8Q80QY,"And so he spoke, and so he spoke, that Lord of Castamere, but now the rains weep o'er his hall, with no one there to hear. Yes, now the rains weep o'er his hall, and not a soul to hear.,",2020-08-17,71
56,#2YUQCC8YV,#299JJLV8L,"Knowledge could be more valuable than gold, more deadly than a dagger.,",2020-12-28,933
57,#Q0L92PQ2,#PLVU202JY,"Oh. One other thing. If you guys ever have kids, and one of them, when he's eight years old, accidentally sets fire to the living room rug... go easy on him.,",2021-02-08,
58,#2V9LQ2YUG,#PJ08LLCYV,I don't wanna talk. I wanna shoot.,2021-05-14,
59,#8L2URCCR0,#29VQ2G8G,"Much to learn you still have my old padawan. ... This is just the beginning!,",2021-04-03,272
60,#L8JQ8JL2,#CQ82JUC,"I had a horrible nightmare. I dreamed that I went... back in time. It was terrible.,",2021-05-31,540
61,#2G9PQUGY,#QUV8C89,"Your weapons, you will not need them.,",2021-08-19,449
62,#29VQ2G8G,#Y92G098C,"No! Marty! We've already agreed that having information about the future can be extremely dangerous. Even if your intentions are good, it can backfire drastically!,",2021-07-30,
63,#828L9RJG,#PJGGRCPC2,"I can't believe you'd loan me your car without telling me it had a blind spot. I could've been killed!,",2020-12-20,135
64,#YUU8RCCRQ,#LR89LRRVJ,"Hey, come on. I had to change. Do you think I'm going back in that-that zoot suit? The old man really came through. It worked!,",2020-10-12,417
65,#29C2U2QPP,#89PL0YV,"Things have certainly changed around here. I remember when this was all farmland as far the eye could see. Old man Peabody owned all of this. He had this crazy idea about breeding pine trees.,",2021-02-27,
66,#L00C8Y9Q2,#9YYCUUYRP,"That is why you fail.,",2020-11-20,924
67,#2R80RVPP,#U99C2JVG,"Every flight begins with a fall.,",2020-09-27,
68,#Y22PJ9V9J,#8CUL88Y08,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.,",2021-07-28,
69,#88UPCYJVC,#2YV280Q0,"Ready are you? What know you of ready? For eight hundred years have I trained Jedi. My own counsel will I keep on who is to be trained. A Jedi must have the deepest commitment, the most serious mind. This one a long time have I watched. All his life has he looked away - to the future, to the horizon. Never his mind on where he was. Hmm? What he was doing. Hmph. Adventure. Heh. Excitement. Heh. A Jedi craves not these things. You are reckless.,",2021-04-28,339
70,#8UCQYJLP8,#C0PPG0,"Moonlight drowns out all but the brightest stars.,",2021-06-05,
71,#9GUULQJJ,#2YLCVUYYP,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.,",2020-10-20,
72,#PU2YY8,#LR89LRRVJ,"Roads? Where we're going, we don't need roads.,",2021-11-07,
73,#V9LR928J,#2J2LVPY9L,"That's good. Go on, read some more.,",2021-06-06,57
74,#2UV9020RY,#YC288PYG,"I’ve got an idea–an idea so smart that my head would explode if I even began to know what I’m talking about.,",2021-02-27,190
75,#GQJYCRQ8,#89PL0YV,"Biff. What a character. Always trying to get away with something. I've had to stay on top of Biff ever since high school. Although, if it wasn't for him...,",2020-12-29,370
76,#CGJ8JRCR,#GPQ2UG2Q,"Amazing. One second of a stranger's voice on a phone, and you've got full Bollywood.,",2020-11-26,904
77,#L09YGU9,#8QPYVCL,"You really think I ought to swear?,",2021-03-26,437
78,#88UPCYJVC,#29C2U2QPP,"That's good. Go on, read some more.,",2020-11-14,393
79,#P0RR0VQLC,#2R80RVPP,"Real names tell you the story of the things they belong to,",2021-03-07,
80,#CGLRRPYL,#YU8CCU0Q,"No, get out of town. My mom thinks I'm going camping with the guys. Look, Jennifer, my mother would freak out if she knew I was going out with you, and I'd get the standard lecture about how she never did that kind of stuff when she was a kid. I mean, look, I think the woman was born a nun.,",2021-08-30,707
81,#PC99QUQ,#QCJQYP0C,"Truly wonderful, the mind of a child is.,",2020-10-02,
82,#22JY90CP0,#29Y8YPVLV,"Do not assume anything Obi-Wan. Clear your mind must be if you are to discover the real villains behind this plot.,",2021-07-30,669
83,#P82UJJGLG,#LP0LQQL,"Yet dawn is ever the hope of men,’ said Aragorn.,",2020-11-29,
84,#R2UYQ9898,#QGCLQLYJV,"I want your bunk!,",2021-01-29,778
85,#VGR9CL0G,#9RQ8YRYQL,"Why is it that when one man builds a wall, the next man immediately needs to know what's on the other side?,",2021-04-03,746
86,#8UJQPR22,#2PCRV0QPY,"I went the distance.,",2020-11-23,
87,#QQVYGQ0Y,#9V20UYCRU,"I don't know.,",2020-09-25,226
88,#J8YPGGJ,#RVL8JP,"You know, this is — excuse me — a damn fine cup of coffee!",2020-12-03,676
89,#2J9LPRYR,#9RLJ2CG8,"Why is it that when one man builds a wall, the next man immediately needs to know what's on the other side?,",2021-05-23,523
90,#RPRL02JQ,#29YPQLJG9,"So you're my Uncle Joey. Better get used to these bars, kid.,",2021-10-09,666
91,#889982CQY,#P98828PU,"Roads? Where we're going, we don't need roads.,",2021-11-09,804
92,#YRRQUVG9,#GGLRL0,"Now, remember. According to my theory, you interfered with your parents' first meeting. If they don't meet, they won't fall in love, they won't get married and they won't have kids. That's why your older brother's disappearing from that photograph. Your sister will follow, and unless you repair the damage, you'll be next.,",2020-08-28,76
93,#92RUJ8LPP,#2GQVLYV0U,"The things I do for love.,",2021-04-18,
94,#2PR28G2,#2YP2UJJ0U,"Deeds will not be less valiant because they are unpraised.,",2021-11-06,655
95,#L82V9VVC,#LJYU90R9Y,"Goodnight, my darlings, I'll see you tomorrow.,",2021-09-12,
96,#28JUC20P,#9P08GGJ9,"Hey, hey, listen, guys... Look, I don't wanna mess with no reefer addicts, okay?,",2020-11-24,
97,#GVJLCYC,#YRV9PUGUR,"There are no heroes...in life, the monsters win.,",2020-08-07,673
98,#2RLGQGLC,#89RYUPQ0V,"I've never seen purple underwear before!,",2021-05-08,609
99,#QUV8C89,#8GL2CRGLR,"To answer power with power, the Jedi way this is not. In this war, a danger there is, of losing who we are.,",2021-09-04,
100,#2GRUQP9VL,#2PPRU8QU0,"Truly wonderful, the mind of a child is.,",2021-04-08,504
101,#VV929UL9,#9Q90P0Y0,"Do not scorn pity that is the gift of a gentle heart, Éowyn!,",2020-12-11,687
102,#8QYCJR99,#C82Q9U,"Clothes are but little loss, if you escape from drowning.,",2020-08-30,
103,#CL08URJ,#J8R89YC8,"You caused 300 bucks damage to my car, you son of a bitch. And I'm gonna take it out of your ass.,",2021-08-27,750
104,#2GG9JCCRR,#UPRJQQ89,"Take that, you mutated son of a bitch!,",2021-04-09,823
105,#88VR0GVPL,#8Y9L200U,"Marty, I'm sorry, but the only power source capable of generating 1.21 gigawatts of electricity is a bolt of lightning.,",2021-04-20,649
106,#2JGRPU928,#CYRL0RY2,"Joe, gag on my fat dauber.,",2020-11-28,460
107,#2P2LVRG99,#P2CYLRU9,"Things have certainly changed around here. I remember when this was all farmland as far the eye could see. Old man Peabody owned all of this. He had this crazy idea about breeding pine trees.,",2021-11-09,9
108,#8RRVL8P,#2JJGRPVPL,"Things have certainly changed around here. I remember when this was all farmland as far the eye could see. Old man Peabody owned all of this. He had this crazy idea about breeding pine trees.,",2020-12-31,
109,#2V20QJVR,#9CJP9GRY,"When you play a game of thrones you win or you die.,",2021-08-25,406
110,#8CJ2880VR,#RGP2VC9P,That gum you like is going to come back in style.,2021-05-17,
111,#CJJVYY28,#J002G8UV,"Mudhole? Slimy? My home this is!,",2021-08-05,58
112,#889982CQY,#2VP9LL2JP,"He's an absolute dream!,",2021-11-09,460
113,#2RCPG208L,#9GLYYQ2L,"The world is indeed full of peril and in it there are many dark places.,",2021-05-17,376
114,#RPUU9RY8,#2VRYG0GQJ,"That was the best ice-cream soda I ever tasted.,",2020-11-21,686
115,#L92P8VU9V,#YLRU2LLYP,"I've had enough practical jokes for one evening. Good night, future boy!,",2021-10-15,877
116,#889982CQY,#8RRVL8P,"Windom Earle's mind is like a diamond. It's cold, and hard, and brilliant.",2021-05-26,402
117,#Y9Q2LQJ,#PV8LRVCJU,"When the snows fall and the white winds blow, the lone wolf dies but the pack survives.,",2021-01-27,
118,#98UCCVRRJ,#98RRY80YR,"When you play a game of thrones you win or you die.,",2020-11-25,693
119,#PRU8Y0UQY,#QP022PLJV,"Well, you're safe and sound now, back in good old 1955.,",2020-12-10,
120,#92V2VRCVQ,#2PU98V8QJ,"Younglings, younglings gather ’round.,",2020-11-10,
121,#LVC20V9L,#98R0LCGG,"Okay, I won't.,",2020-12-23,
122,#P9R8CPCUG,#280YVGJQU,"Amazing. One second of a stranger's voice on a phone, and you've got full Bollywood.,",2021-04-17,
123,#92LRGLQ2C,#8088R0VP,"Begone, foul dwimmerlaik, lord of carrion! Leave the dead in peace!,",2021-09-05,
124,#GRY2909Q,#CC2C2VV0,"I didn't think it would end this way.,",2020-10-24,955
125,#8VLJPL8L2,#90UJPLCQQ,"I've never seen purple underwear before!,",2020-11-10,
126,#9QLL8QQQ,#9QYRCPJP2,"All dwarfs are bastards in their father's eyes,",2021-04-03,630
127,#8PQG0CPLP,#CCQCU90L,"I am confound.,",2021-10-24,787
128,#8GG92RQUG,#228J88L89,"Whoa. This is heavy.,",2021-04-22,210
129,#80RGP2JPR,#98R0LCGG,"No, get out of town. My mom thinks I'm going camping with the guys. Look, Jennifer, my mother would freak out if she knew I was going out with you, and I'd get the standard lecture about how she never did that kind of stuff when she was a kid. I mean, look, I think the woman was born a nun.,",2021-07-02,549
130,#LY00J89PJ,#82G9G90Y9,"Marty, don't be such a square. Everybody who's anybody drinks.,",2021-07-21,
131,#222VRRYJ,#PL0G808QU,"Damn! I'm late for school!,",2021-09-16,57
132,#28CVU99UQ,#299VP2C98,"That was the best ice-cream soda I ever tasted.,",2021-05-07,864
133,#QJU0P2JJP,#L2R22CP,"Wow, Bob, wow.,",2021-10-09,662
134,#PYR9GLQU0,#22U8RQ908,"Whoa. This is heavy.,",2021-02-06,
135,#8282YYRL,#8UL0P8LQ,"Since you're new here, I-I'm gonna cut you a break, today. So, why don't you make like a tree and get outta here?,",2020-08-07,577
136,#202U2J08Q,#UUQ9ULJG,There's nothing quite like urinating in the open air.,2021-02-07,671
137,#PY2CLV2L,#22CCRLQ0R,"But all’s well as ends well,",2020-08-15,615
138,#8RRVL8P,#2L0V2YQUY,"See you in about 30 years.,",2020-12-28,
139,#YYR8V8U8Y,#8RRVL8P,"Often does hatred hurt itself!,",2020-08-29,981
140,#PJJURULY,#8Y9VPLLYC,"Amazing. One second of a stranger's voice on a phone, and you've got full Bollywood.,",2021-06-18,
141,#2R98U2C9C,#LYJLLPQR,"Truly wonderful, the mind of a child is.,",2020-10-15,749
142,#2PCYY2QCP,#2LYPPG0Y2,"Feel the force!,",2020-11-22,
143,#P82YUQ9QY,#PG28UYQLJ,"Moonlight drowns out all but the brightest stars.,",2021-03-27,
144,#8UQVQ02G,#80C09G8G,"Hodor? Hodor.,",2021-05-22,989
145,#829QLUVVR,#202U2J08Q,"Yet dawn is ever the hope of men,’ said Aragorn.,",2021-10-20,512
146,#V29RYRCC,#99GJ9LC0P,"I'm from the future. I came here in a Time Machine that you invented. Now I need your help to get back to the year 1985.,",2020-10-03,868
147,#8R2JCGPC,#888P9C9UV,"Don't be so gullible, McFly. Got the place fixed up nice, though, McFly.,",2020-12-08,991
148,#2J9PJCCJ,#2QULVQPRG,J'ai une âme solitaire.,2021-03-20,
149,#90UL09LP,#9UCCQ2Q9R,"Calm down, Marty. I didn't disintegrate anything. The molecular structure of both Einstein and the car are completely intact.,",2020-09-20,717
150,#909UCGUYJ,#R82VQ90R,"That's Strickland. Jesus, didn't that guy ever have hair?,",2021-05-01,227
151,#2PUR2R89L,#P29YGR98,"Happy.,",2020-11-20,271
152,#2Y0PV0VYP,#UCYRJRL9,"Calvin? Wh... Why do you keep calling me Calvin?,",2021-01-21,1000
153,#82RQ02YUJ,#2GRQQU02,"He's an idiot. Comes from upbringing. His parents are probably idiots, too. Lorraine, you ever have a kid who acts that way, I'll disown you.,",2021-03-07,337
154,#989L99QLC,#CYYVYRY,"Take that, you mutated son of a bitch!,",2021-07-04,636
155,#8RYYCJG20,#9UVJP08QR,"It's already mutated into human form! Shoot it!,",2021-03-14,252
156,#2YC9QC8L9,#9JLQPU802,"Perfect! My experiment worked! They're all exactly 25 minutes slow!,",2020-10-30,
157,#VPC9RRQ,#2JUPU0LPV,I don't wanna talk. I wanna shoot.,2021-01-13,890
158,#CC2C8PQ,#2P2PCQ0JL,"Yes, it's tough, but not as tough as doing comedy.,",2021-09-20,561
159,#UP9QQ9VY,#90UL09LP,"I have no idea where this will lead us. But I have a definite feeling it will be a place both wonderful and strange.,",2021-08-05,
160,#PJGGRCPC2,#9Q90P0Y0,"He's an idiot. Comes from upbringing. His parents are probably idiots, too. Lorraine, you ever have a kid who acts that way, I'll disown you.,",2020-11-20,96
161,#YG2GY9QU,#8RYYCJG20,"Look! There's a rhythmic ceremonial ritual coming up.,",2021-11-01,
162,#G2YGPR8R,#22R2JCR2C,"Now, Biff, I want to make sure that we get two coats of wax this time, not just one.,",2021-05-06,471
163,#82RQ02YUJ,#8J8QCGLR,"I'm from the future. I came here in a Time Machine that you invented. Now I need your help to get back to the year 1985.,",2021-05-14,
164,#9LYUG09,#CC2C8PQ,"Home is behind, the world ahead,",2021-09-25,345
165,#9QLJU0PJ,#2L88CU2V,"Jesus, George, it was a wonder I was even born.,",2020-12-30,404
166,#80LPYLGC,#8Q80QY,"Does nobody understand?,",2020-08-07,349
167,#8YULR0QR,#CJYP2PV2,"Fear cuts deeper than swords.,",2020-11-20,228
168,#9GLYYQ2L,#V9G8PQGG,"What happens to us in the future? Do we become assholes or something?,",2020-12-15,
169,#Y0P8RQ89,#9P2LCUPU,"Now, Biff, I want to make sure that we get two coats of wax this time, not just one.,",2021-07-01,
170,#9V2V2VP,#8L000LJ9Y,"Now, remember. According to my theory, you interfered with your parents' first meeting. If they don't meet, they won't fall in love, they won't get married and they won't have kids. That's why your older brother's disappearing from that photograph. Your sister will follow, and unless you repair the damage, you'll be next.,",2020-08-22,706
171,#CQ8CPPG9,#GL9299QG,"Whoa. This is heavy.,",2021-02-02,434
172,#LRUQQPVU,#PLGJU82QC,"Whoa. This is heavy.,",2021-03-15,
173,#2PU98V8QJ,#8Y9QVU2QJ,"""And one for you, McFly; I believe that makes four in a row. Now let me give you a nickel's worth of free advice, young man. This so-called Dr. Brown is dangerous. He's a real nutcase. You hang around with him, you're gonna end up in big trouble.,""",2020-08-24,
174,#YU28V0LP,#GY2VG2U0,"It's the job that's never started as takes longest to finish.,",2020-08-29,605
175,#2Y8CJ2LJC,#8982QVPQV,"Cooper, you may be fearless in this world, but there are other worlds.",2021-09-19,281
176,#G82UQ9UP,#98RRL0Y2,"And so he spoke, and so he spoke, that Lord of Castamere, but now the rains weep o'er his hall, with no one there to hear. Yes, now the rains weep o'er his hall, and not a soul to hear.,",2021-05-03,511
177,#9L2GV8VUC,#90UL09LP,"The way I see it, if you're gonna build a time machine into a car, why not do it with some style?,",2021-04-10,
178,#RL88PYRG,#2UGR22RCP,"That is why you fail.,",2021-08-22,534
179,#9P08GGJ9,#8JRC80YPR,"I look foul and feel fair.,",2021-07-07,
180,#8Y0VL9C,#9289JQPV9,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.,",2021-04-24,186
181,#GJCC29PC,#YJ2LJU2CR,"Once you start down the dark path, forever will it dominate your destiny, consume you it will.,",2021-05-23,432
182,#PJ2JVLY29,#CGJ8JRCR,"You know, this is — excuse me — a damn fine cup of coffee!",2021-01-03,
183,#8VLCCYU82,#28GUPGY2,"Always pass on what you have learned.,",2021-07-06,
184,#2G9PQUGY,#928UL0RR,"Give me honorable enemies rather than ambitious ones, and I'll sleep more easily by night.,",2021-10-18,624
185,#2JL08GY0,#28V9Q0,"Roads? Where we're going, we don't need roads.,",2021-08-20,
186,#2CQG98PP0,#8QYYRUUC9,There's nothing quite like urinating in the open air.,2020-11-15,
187,#CL08URJ,#8CC9JYG2,"There are no heroes...in life, the monsters win.,",2021-02-21,471
188,#UQJ9LUP,#9QLL8QQQ,Black as midnight on a moonless night.,2020-10-19,366
189,#9PRCYU8U,#9CCL0VU,"I want to be a healer, and love all things that grow and are not barren.,",2021-08-08,
190,#82UCYLQG,#Y0P8RQ89,"That is why you fail.,",2020-11-07,558
191,#8Y9QVU2QJ,#2CR88V0,"What happens to us in the future? Do we become assholes or something?,",2021-10-07,140
192,#8Q80QY,#2RUL98URQ,"My vocabulary did this to me. Your love will let you go on…,",2020-12-09,522
193,#2L0RPV822,#8VLJPL8L2,"Scram, McFly. I'm cuttin' in.,",2021-08-10,735
194,#LYJLLPQR,#UY900V,"Truly wonderful, the mind of a child is.,",2020-08-04,
195,#92LRGLQ2C,#P8C8JRV,"In winter here no heart could mourn for summer or for spring.,",2021-10-11,302
196,#CQ0YGRU,#JP9JVC9Y,"Don't be so gullible, McFly. Got the place fixed up nice, though, McFly.,",2021-01-04,
197,#9JCVVGU9P,#YVJR998QC,"Look! There's a rhythmic ceremonial ritual coming up.,",2021-06-11,
198,#8L8VV88C,#GQ20CGP,"Truly wonderful, the mind of a child is.,",2020-09-11,745
199,#GJ820UYPC,#9QLU9UJ2R,"The dark side clouds everything. Impossible to see the future is.,",2021-02-25,283
200,#QVQPJCQR,#2Y0PV0VYP,"He's a Peeping Tom!,",2020-08-26,506
201,#8J2PRR9Y,#2JPPU8YRY,"Even the smallest person can change the course of the future.,",2021-03-11,208
202,#2CQV02CYR,#99QVP8J8Q,"But where the warg howls, there also the orc prowls. - Aragorn,",2021-06-13,109
203,#9PRCYU8U,#JLCJCUPJ,"Not all those who wander are lost,",2021-05-12,
204,#90JYC28PR,#828200G2P,"You know, this is — excuse me — a damn fine cup of coffee!",2021-01-15,
205,#8L2URCCR0,#8UYL0GGU0,"I don't know.,",2021-06-27,
206,#2PR28G2,#YYC9U9JUV,"Memory is not what the heart desires. That is only a mirror....,",2021-03-22,
207,#2CQV02CYR,#8LCYR90LP,"You have shown your usual cunning in getting up just in time for a meal.,",2020-08-18,116
208,#9JJ0G922G,#828200G2P,"""Through the darkness of future's past, the magician longs to see. One chants out between two worlds... """"Fire... walk with me.""""""",2021-01-29,194
209,#2JL08GY0,#R9U2J8CR,"No, get out of town. My mom thinks I'm going camping with the guys. Look, Jennifer, my mother would freak out if she knew I was going out with you, and I'd get the standard lecture about how she never did that kind of stuff when she was a kid. I mean, look, I think the woman was born a nun.,",2021-07-09,
210,#2VU9YGCGV,#2P2LVRG99,"Great Scott!,",2020-09-16,
211,#2VLY2CLPY,#8P0URCRV,"Windom Earle's mind is like a diamond. It's cold, and hard, and brilliant.",2020-08-31,
212,#PY2CLV2L,#8GQ0P22RJ,"Truly wonderful, the mind of a child is.,",2020-10-18,440
213,#909UCGUYJ,#2JCGGRPC,Black as midnight on a moonless night.,2021-05-06,60
214,#L8U8RC8G,#PUU200YL8,"Don't worry. As long as you hit that wire with the connecting hook at precisely 88 miles per hour, the instant the lightning strikes the tower... everything will be fine.,",2020-11-04,
215,#J8J0Q20Y,#8URCGCLPG,"Someone else always has to carry on the story.,",2021-01-23,
216,#8P28UP0J8,#8UL0P8LQ,"Hmm. In the end, cowards are those who follow the dark side.,",2020-08-06,210
217,#PCC2V0CV2,#PGY2YV2G,"Damn fine coffee! And hot!,",2021-01-15,714
218,#228J02890,#2YJCGYVQ8,"Marty, I'm sorry, but the only power source capable of generating 1.21 gigawatts of electricity is a bolt of lightning.,",2021-01-28,613
219,#2PJ988U2,#QRU0V0GQ,"Save the clock tower!,",2020-09-11,774
220,#G029CV9G,#RGP2VC9P,"Do not assume anything Obi-Wan. Clear your mind must be if you are to discover the real villains behind this plot.,",2021-10-09,
221,#928922QG0,#8Y82QU8JU,"Will this sadness that makes me cry my heart out — will it ever end? The answer, of course, is yes. One day the sadness will end.",2021-05-01,53
222,#JLCJCUPJ,#YQ9QYJGP,"Fear cuts deeper than swords.,",2020-10-29,482
223,#RC8RP882,#8UYL0PPJ,"Adventure. Excitement. A Jedi craves not these things.,",2021-07-17,
224,#22U2C2PP0,#8982QVPQV,"I'll be in Hell before you start breakfast! Let her rip!,",2020-09-24,
225,#VUUVPJUY,#Y0C2RQ0U,"Well, I figured, what the hell?,",2021-09-07,585
226,#22RPYRV99,#89JV98089,"""Yes, a Jedi’s strength flows from the Force. But beware of the dark side. Anger, fear, aggression; the dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wan’s apprentice.,""",2021-02-07,714
227,#22Y0PU08,#YGYJ220L,"Who the hell is John F. Kennedy?,",2020-09-13,
228,#8UQVQ02G,#9JLQPU802,"Tape Seinfeld for me.,",2020-08-02,
229,#PY2V22VP8,#VCVCG2YR,"Marty, I'm sorry, but the only power source capable of generating 1.21 gigawatts of electricity is a bolt of lightning.,",2021-09-20,
230,#22CCRLQ0R,#28QV090VL,"Save the clock tower!,",2021-05-14,823
231,#8P0URCRV,#QYJQQV2V,"Audrey, there are many cures for a broken heart. But nothing quite like a trout's leap in the moonlight.,",2021-02-24,
232,#PGJ8QR9U,#2CQ0LU9V,"I noticed your band is on the roster for the dance auditions after school today. Why even bother, McFly? You don't have a chance. You're too much like your old man. No McFly ever amounted to anything in the history of Hill Valley!,",2021-10-06,869
233,#9QLL8QQQ,#22U2C2PP0,"Deeds will not be less valiant because they are unpraised.,",2021-05-02,564
234,#2YVQQPQJL,#YLUY9YQ0,"That's good. Go on, read some more.,",2021-08-23,
235,#8QP9UPUPG,#L0L9VJLG9,"It's the job that's never started as takes longest to finish.,",2021-01-25,
236,#YGU8Q29Q,#8282YYRL,"Roads? Where we're going, we don't need roads.,",2020-11-28,452
237,#PG28UYQLJ,#9V2V2VP,"I am confound.,",2021-10-27,452
