player,clan,gold,date
#22QUQG09C,#8LGRYC,30,2021-08-11
#22QUQG09C,#8LGRYC,15,2021-08-25
#22QUQG09C,#8LGRYC,45,2021-09-10
#22QUQG09C,#8LGRYC,35,2021-08-09
#22QUQG09C,#8LGRYC,45,2021-08-16
#22QUQG09C,#8LGRYC,40,2021-10-15
#LP098UL8L,#8LGRYC,35,2021-09-27
#LP098UL8L,#8LGRYC,55,2021-09-05
#9LR00P2G,#8LGRYC,40,2021-09-01
#9LR00P2G,#8LGRYC,25,2021-09-13
#PCYRRP8J2,#8LGRYC,40,2021-09-13
#PCYRRP8J2,#8LGRYC,30,2021-09-09
#PCYRRP8J2,#8LGRYC,45,2021-10-07
#PCYRRP8J2,#8LGRYC,50,2021-09-17
#PCYRRP8J2,#8LGRYC,35,2021-11-08
#90VLUCGVG,#8LGRYC,30,2021-09-28
#9LQJLL,#8LGRYC,20,2021-09-01
#9LQJLL,#8LGRYC,30,2021-10-24
#9LQJLL,#8LGRYC,55,2021-10-13
#9LQJLL,#8LGRYC,45,2021-10-28
#9LQJLL,#8LGRYC,45,2021-09-03
#9LQJLL,#8LGRYC,50,2021-10-30
#9LQJLL,#8LGRYC,55,2021-08-13
#2YQ98PLCJ,#8LGRYC,45,2021-10-29
#2YQ98PLCJ,#8LGRYC,55,2021-10-29
#2YQ98PLCJ,#8LGRYC,55,2021-09-09
#2YQ98PLCJ,#8LGRYC,45,2021-11-02
#2YQ98PLCJ,#8LGRYC,45,2021-09-15
#2YQ98PLCJ,#8LGRYC,20,2021-09-13
#2YQ98PLCJ,#8LGRYC,25,2021-10-26
#2YQ98PLCJ,#8LGRYC,35,2021-10-14
#2YQ98PLCJ,#8LGRYC,55,2021-11-10
#9J00RUV,#8LGRYC,15,2021-08-24
#9J00RUV,#8LGRYC,35,2021-08-27
#CPQPPQ28,#8LGRYC,45,2021-09-30
#CPQPPQ28,#8LGRYC,45,2021-09-08
#CPQPPQ28,#8LGRYC,45,2021-08-22
#CPQPPQ28,#8LGRYC,30,2021-11-01
#CPQPPQ28,#8LGRYC,45,2021-10-05
#CPQPPQ28,#8LGRYC,15,2021-10-06
#CPQPPQ28,#8LGRYC,20,2021-10-05
#CPQPPQ28,#8LGRYC,35,2021-10-18
#CPQPPQ28,#8LGRYC,30,2021-10-08
#2QYUL0VCP,#8LGRYC,20,2021-09-23
#2QYUL0VCP,#8LGRYC,15,2021-10-04
#2QYUL0VCP,#8LGRYC,15,2021-08-24
#2QYUL0VCP,#8LGRYC,35,2021-08-04
#2QYUL0VCP,#8LGRYC,45,2021-09-14
#2QYUL0VCP,#8LGRYC,50,2021-10-03
#2QYUL0VCP,#8LGRYC,30,2021-08-18
#UCYRJRL9,#8LGRYC,25,2021-08-16
#UCYRJRL9,#8LGRYC,30,2021-09-08
#UCYRJRL9,#8LGRYC,20,2021-10-01
#UCYRJRL9,#8LGRYC,20,2021-10-27
#UCYRJRL9,#8LGRYC,45,2021-08-18
#UCYRJRL9,#8LGRYC,40,2021-10-04
#UCYRJRL9,#8LGRYC,50,2021-10-28
#LR9R9RUR,#8LGRYC,30,2021-11-01
#LR9R9RUR,#8LGRYC,45,2021-10-24
#LR9R9RUR,#8LGRYC,40,2021-10-16
#YCLJUU8G,#8LGRYC,20,2021-09-04
#YCLJUU8G,#8LGRYC,30,2021-09-25
#YCLJUU8G,#8LGRYC,50,2021-08-12
#YCLJUU8G,#8LGRYC,15,2021-10-15
#YCLJUU8G,#8LGRYC,25,2021-10-14
#CG2VJYP,#8LGRYC,55,2021-08-04
#CG2VJYP,#8LGRYC,20,2021-10-28
#CG2VJYP,#8LGRYC,40,2021-11-06
#P82PPQPV,#8LGRYC,20,2021-08-06
#9YUUVJ08G,#8LGRYC,30,2021-11-06
#9YUUVJ08G,#8LGRYC,25,2021-10-12
#9YUUVJ08G,#8LGRYC,20,2021-09-22
#9YUUVJ08G,#8LGRYC,45,2021-10-12
#9YUUVJ08G,#8LGRYC,35,2021-10-27
#928922QG0,#8LGRYC,15,2021-10-08
#928922QG0,#8LGRYC,15,2021-08-14
#928922QG0,#8LGRYC,30,2021-10-30
#928922QG0,#8LGRYC,30,2021-09-13
#928922QG0,#8LGRYC,35,2021-09-14
#928922QG0,#8LGRYC,25,2021-09-28
#928922QG0,#8LGRYC,35,2021-10-15
#8GRCGCCQC,#8LGRYC,25,2021-10-21
#2QRYYR8C,#8LGRYC,15,2021-09-02
#2QRYYR8C,#8LGRYC,50,2021-09-19
#2QRYYR8C,#8LGRYC,40,2021-08-22
#2QRYYR8C,#8LGRYC,45,2021-09-18
#2QRYYR8C,#8LGRYC,25,2021-10-11
#2QRYYR8C,#8LGRYC,15,2021-10-13
#2QRYYR8C,#8LGRYC,50,2021-08-19
#2QRYYR8C,#8LGRYC,30,2021-08-12
#2QRYYR8C,#8LGRYC,30,2021-11-09
#2QRYYR8C,#8LGRYC,15,2021-08-11
#Y08PCY8P2,#8LGRYC,30,2021-09-29
#Y08PCY8P2,#8LGRYC,50,2021-10-24
#Y08PCY8P2,#8LGRYC,40,2021-08-30
#2YVQQPQJL,#8LGRYC,35,2021-08-12
#2YVQQPQJL,#8LGRYC,35,2021-08-18
#2YVQQPQJL,#8LGRYC,55,2021-10-27
#2YVQQPQJL,#8LGRYC,20,2021-09-06
#GVJLCYC,#8LGRYC,30,2021-09-13
#GVJLCYC,#8LGRYC,55,2021-11-03
#GVJLCYC,#8LGRYC,25,2021-10-21
#GVJLCYC,#8LGRYC,15,2021-08-24
#GVJLCYC,#8LGRYC,15,2021-08-18
#GVJLCYC,#8LGRYC,15,2021-08-25
#GVJLCYC,#8LGRYC,40,2021-09-22
#GVJLCYC,#8LGRYC,45,2021-09-10
#GVJLCYC,#8LGRYC,50,2021-09-14
#GVJLCYC,#8LGRYC,35,2021-10-29
#P2RUVC9VR,#8LGRYC,25,2021-09-08
#P2RUVC9VR,#8LGRYC,25,2021-11-03
#2YCJRP9Q0,#8LGRYC,35,2021-10-22
#2YCJRP9Q0,#8LGRYC,55,2021-09-27
#YC288PYG,#8LGRYC,40,2021-08-24
#YC288PYG,#8LGRYC,30,2021-08-26
#YC288PYG,#8LGRYC,15,2021-09-08
#YC288PYG,#8LGRYC,20,2021-08-11
#YC288PYG,#8LGRYC,55,2021-10-25
#YC288PYG,#8LGRYC,35,2021-10-17
#YC288PYG,#8LGRYC,50,2021-09-23
#YC288PYG,#8LGRYC,45,2021-10-14
#YC288PYG,#8LGRYC,25,2021-09-17
#8PGU0R8JR,#8LGRYC,40,2021-09-26
#8PGU0R8JR,#8LGRYC,55,2021-09-04
#8PGU0R8JR,#8LGRYC,40,2021-08-20
#8PGU0R8JR,#8LGRYC,25,2021-08-16
#8PGU0R8JR,#8LGRYC,15,2021-08-05
#8PGU0R8JR,#8LGRYC,50,2021-10-12
#LP0LQQL,#8LGRYC,15,2021-10-08
#28V9Q0,#8LGRYC,20,2021-10-11
#28V9Q0,#8LGRYC,25,2021-10-26
#28V9Q0,#8LGRYC,20,2021-08-19
#228J02890,#8LGRYC,25,2021-10-05
#228J02890,#8LGRYC,40,2021-08-06
#228J02890,#8LGRYC,25,2021-08-29
#228J02890,#8LGRYC,25,2021-10-20
#228J02890,#8LGRYC,40,2021-10-08
#228J02890,#8LGRYC,20,2021-08-14
#228J02890,#8LGRYC,50,2021-10-10
#90YPUVL2,#8LGRYC,55,2021-10-18
#90YPUVL2,#8LGRYC,25,2021-10-06
#90YPUVL2,#8LGRYC,45,2021-11-09
#90YPUVL2,#8LGRYC,30,2021-09-27
#Y0P8RQ89,#8LGRYC,25,2021-09-13
#Y0P8RQ89,#8LGRYC,30,2021-08-17
#Y0P8RQ89,#8LGRYC,35,2021-08-06
#Y0P8RQ89,#8LGRYC,55,2021-09-04
#Y0P8RQ89,#8LGRYC,35,2021-10-14
#Y0P8RQ89,#8LGRYC,15,2021-09-25
#RC2UPGP8,#8LGRYC,25,2021-09-25
#RC2UPGP8,#8LGRYC,20,2021-10-19
#8C9CR9YG,#8LGRYC,45,2021-10-05
#8C9CR9YG,#8LGRYC,50,2021-09-16
#8C9CR9YG,#8LGRYC,40,2021-08-09
#8C9CR9YG,#8LGRYC,25,2021-10-25
#Q0CPPQC9Q,#8LGRYC,15,2021-09-07
#Q0CPPQC9Q,#8LGRYC,50,2021-10-01
#Q0CPPQC9Q,#8LGRYC,25,2021-09-25
#2QCPVQC0Y,#8LGRYC,30,2021-09-08
#2QCPVQC0Y,#8LGRYC,30,2021-10-31
#2QCPVQC0Y,#8LGRYC,55,2021-09-25
#2QCPVQC0Y,#8LGRYC,35,2021-09-23
#2QCPVQC0Y,#8LGRYC,45,2021-09-19
#2QCPVQC0Y,#8LGRYC,30,2021-09-17
#2QCPVQC0Y,#8LGRYC,40,2021-10-27
#2QCPVQC0Y,#8LGRYC,50,2021-11-10
#2QCPVQC0Y,#8LGRYC,40,2021-08-24
#8QPCGVP2Y,#8LGRYC,45,2021-08-30
#8QPCGVP2Y,#8LGRYC,35,2021-10-05
#8QPCGVP2Y,#8LGRYC,35,2021-11-07
#8QPCGVP2Y,#8LGRYC,20,2021-08-25
#P88PQJ2UV,#2CQQVQCU,40,2021-08-30
#P88PQJ2UV,#2CQQVQCU,55,2021-09-07
#P88PQJ2UV,#2CQQVQCU,30,2021-09-23
#P88PQJ2UV,#2CQQVQCU,40,2021-08-27
#P88PQJ2UV,#2CQQVQCU,50,2021-11-03
#P88PQJ2UV,#2CQQVQCU,15,2021-11-08
#2G9VQL8U8,#2CQQVQCU,15,2021-08-12
#2G9VQL8U8,#2CQQVQCU,45,2021-08-22
#QJJP0R8L,#2CQQVQCU,50,2021-10-29
#QJJP0R8L,#2CQQVQCU,35,2021-08-29
#QJJP0R8L,#2CQQVQCU,40,2021-09-06
#QJJP0R8L,#2CQQVQCU,15,2021-10-14
#QJJP0R8L,#2CQQVQCU,50,2021-09-06
#QJJP0R8L,#2CQQVQCU,15,2021-09-10
#QJJP0R8L,#2CQQVQCU,45,2021-09-28
#QJJP0R8L,#2CQQVQCU,20,2021-08-05
#2GJC9PR28,#2CQQVQCU,40,2021-08-13
#2GJC9PR28,#2CQQVQCU,45,2021-08-25
#2GJC9PR28,#2CQQVQCU,55,2021-08-19
#2GJC9PR28,#2CQQVQCU,50,2021-08-22
#2GJC9PR28,#2CQQVQCU,30,2021-08-31
#2GJC9PR28,#2CQQVQCU,45,2021-10-24
#2GJC9PR28,#2CQQVQCU,50,2021-09-27
#2GJC9PR28,#2CQQVQCU,45,2021-09-19
#2GJC9PR28,#2CQQVQCU,50,2021-08-16
#2GJC9PR28,#2CQQVQCU,15,2021-10-28
#98LCG9LVP,#2CQQVQCU,20,2021-11-10
#98LCG9LVP,#2CQQVQCU,20,2021-08-23
#98LCG9LVP,#2CQQVQCU,25,2021-10-31
#98LCG9LVP,#2CQQVQCU,15,2021-08-23
#98LCG9LVP,#2CQQVQCU,40,2021-08-17
#98LCG9LVP,#2CQQVQCU,50,2021-11-01
#98LCG9LVP,#2CQQVQCU,45,2021-08-27
#98LCG9LVP,#2CQQVQCU,40,2021-09-08
#98LCG9LVP,#2CQQVQCU,15,2021-10-03
#80992PGVV,#2CQQVQCU,20,2021-09-01
#80992PGVV,#2CQQVQCU,50,2021-09-19
#80992PGVV,#2CQQVQCU,15,2021-08-09
#80992PGVV,#2CQQVQCU,20,2021-10-17
#80992PGVV,#2CQQVQCU,55,2021-09-02
#80992PGVV,#2CQQVQCU,20,2021-08-19
#29YPQLJG9,#2CQQVQCU,35,2021-10-04
#29YPQLJG9,#2CQQVQCU,35,2021-09-10
#29YPQLJG9,#2CQQVQCU,15,2021-09-22
#29YPQLJG9,#2CQQVQCU,15,2021-11-10
#29YPQLJG9,#2CQQVQCU,40,2021-10-29
#29YPQLJG9,#2CQQVQCU,25,2021-08-05
#29YPQLJG9,#2CQQVQCU,30,2021-09-19
#PCRRR2VV,#2CQQVQCU,20,2021-08-19
#PCRRR2VV,#2CQQVQCU,15,2021-09-15
#22Y9CGYGQ,#2CQQVQCU,45,2021-10-05
#22Y9CGYGQ,#2CQQVQCU,35,2021-11-04
#22Y9CGYGQ,#2CQQVQCU,25,2021-10-04
#22Y9CGYGQ,#2CQQVQCU,25,2021-09-14
#22Y9CGYGQ,#2CQQVQCU,25,2021-08-07
#22Y9CGYGQ,#2CQQVQCU,40,2021-11-06
#22Y9CGYGQ,#2CQQVQCU,15,2021-10-20
#22Y9CGYGQ,#2CQQVQCU,15,2021-08-16
#22Y9CGYGQ,#2CQQVQCU,30,2021-10-12
#8QRQ0JLRY,#2CQQVQCU,15,2021-09-27
#8QRQ0JLRY,#2CQQVQCU,30,2021-10-07
#8QRQ0JLRY,#2CQQVQCU,35,2021-08-28
#8QRQ0JLRY,#2CQQVQCU,35,2021-10-17
#8QRQ0JLRY,#2CQQVQCU,20,2021-09-02
#8QRQ0JLRY,#2CQQVQCU,35,2021-08-11
#8QRQ0JLRY,#2CQQVQCU,35,2021-09-21
#8QRQ0JLRY,#2CQQVQCU,15,2021-08-08
#8QRQ0JLRY,#2CQQVQCU,15,2021-09-02
#8PYGPYJPR,#2CQQVQCU,30,2021-08-04
#8PYGPYJPR,#2CQQVQCU,40,2021-11-04
#UGRV2UJG,#2CQQVQCU,45,2021-08-31
#UGRV2UJG,#2CQQVQCU,45,2021-08-12
#UGRV2UJG,#2CQQVQCU,40,2021-10-20
#UGRV2UJG,#2CQQVQCU,35,2021-08-20
#UGRV2UJG,#2CQQVQCU,15,2021-08-14
#UGRV2UJG,#2CQQVQCU,30,2021-10-01
#UGRV2UJG,#2CQQVQCU,50,2021-10-30
#UGRV2UJG,#2CQQVQCU,55,2021-10-10
#UGRV2UJG,#2CQQVQCU,40,2021-09-24
#UGRV2UJG,#2CQQVQCU,20,2021-10-15
#GPQ2UG2Q,#2CQQVQCU,30,2021-10-16
#GPQ2UG2Q,#2CQQVQCU,25,2021-08-16
#GPQ2UG2Q,#2CQQVQCU,15,2021-09-06
#JPCRVGLY,#2CQQVQCU,50,2021-10-30
#88C9PLVYL,#2CQQVQCU,40,2021-11-08
#88C9PLVYL,#2CQQVQCU,40,2021-08-18
#88C9PLVYL,#2CQQVQCU,20,2021-09-02
#88C9PLVYL,#2CQQVQCU,40,2021-09-29
#89RQQV2U9,#2CQQVQCU,35,2021-10-04
#89RQQV2U9,#2CQQVQCU,40,2021-08-14
#89RQQV2U9,#2CQQVQCU,25,2021-11-03
#89RQQV2U9,#2CQQVQCU,55,2021-09-19
#92YQYU0L2,#2CQQVQCU,30,2021-10-29
#92YQYU0L2,#2CQQVQCU,55,2021-11-03
#92YQYU0L2,#2CQQVQCU,50,2021-08-11
#92YQYU0L2,#2CQQVQCU,20,2021-10-11
#92YQYU0L2,#2CQQVQCU,25,2021-09-07
#92YQYU0L2,#2CQQVQCU,25,2021-09-29
#92YQYU0L2,#2CQQVQCU,25,2021-08-16
#2QYC8YLLG,#2CQQVQCU,20,2021-09-06
#2QYC8YLLG,#2CQQVQCU,55,2021-10-03
#2QYC8YLLG,#2CQQVQCU,25,2021-10-30
#2QYC8YLLG,#2CQQVQCU,25,2021-11-09
#2QYC8YLLG,#2CQQVQCU,25,2021-09-24
#2QYC8YLLG,#2CQQVQCU,30,2021-08-31
#2QYC8YLLG,#2CQQVQCU,55,2021-08-06
#2VLY2CLPY,#2CQQVQCU,45,2021-10-09
#99P9VLCR2,#2CQQVQCU,50,2021-10-16
#99P9VLCR2,#2CQQVQCU,40,2021-10-05
#99P9VLCR2,#2CQQVQCU,30,2021-11-05
#99P9VLCR2,#2CQQVQCU,50,2021-10-14
#99P9VLCR2,#2CQQVQCU,35,2021-08-29
#LY8R8RY9,#2CQQVQCU,45,2021-10-11
#LY8R8RY9,#2CQQVQCU,15,2021-10-29
#LY8R8RY9,#2CQQVQCU,15,2021-08-19
#LY8R8RY9,#2CQQVQCU,55,2021-10-01
#LY8R8RY9,#2CQQVQCU,35,2021-09-14
#LY8R8RY9,#2CQQVQCU,50,2021-09-23
#LY8R8RY9,#2CQQVQCU,55,2021-08-10
#8GR2GVLJ0,#2CQQVQCU,20,2021-09-03
#8GR2GVLJ0,#2CQQVQCU,55,2021-09-27
#8GR2GVLJ0,#2CQQVQCU,55,2021-10-20
#8GR2GVLJ0,#2CQQVQCU,45,2021-10-18
#8GR2GVLJ0,#2CQQVQCU,35,2021-08-31
#P9P2GL8,#2CQQVQCU,35,2021-09-07
#P9P2GL8,#2CQQVQCU,40,2021-08-07
#P9P2GL8,#2CQQVQCU,15,2021-10-01
#P9P2GL8,#2CQQVQCU,20,2021-10-10
#P9P2GL8,#2CQQVQCU,25,2021-10-23
#P9P2GL8,#2CQQVQCU,40,2021-10-14
#P9P2GL8,#2CQQVQCU,55,2021-08-11
#P9P2GL8,#2CQQVQCU,40,2021-09-19
#P9P2GL8,#2CQQVQCU,55,2021-08-11
#9PRP2URC,#2CQQVQCU,55,2021-09-24
#9PRP2URC,#2CQQVQCU,20,2021-08-04
#9PRP2URC,#2CQQVQCU,20,2021-10-29
#9PRP2URC,#2CQQVQCU,45,2021-09-06
#9PRP2URC,#2CQQVQCU,35,2021-08-28
#2LJ82YCVR,#2CQQVQCU,20,2021-09-09
#2LJ82YCVR,#2CQQVQCU,25,2021-08-12
#98UCCVRRJ,#2CQQVQCU,35,2021-10-29
#98UCCVRRJ,#2CQQVQCU,15,2021-08-27
#98UCCVRRJ,#2CQQVQCU,40,2021-10-23
#98UCCVRRJ,#2CQQVQCU,35,2021-11-10
#98UCCVRRJ,#2CQQVQCU,30,2021-10-21
#98UCCVRRJ,#2CQQVQCU,55,2021-10-30
#98UCCVRRJ,#2CQQVQCU,35,2021-09-11
#98UCCVRRJ,#2CQQVQCU,15,2021-09-28
#98UCCVRRJ,#2CQQVQCU,20,2021-09-26
#8J2PRR9Y,#2CQQVQCU,45,2021-11-10
#8J2PRR9Y,#2CQQVQCU,15,2021-10-08
#8J2PRR9Y,#2CQQVQCU,40,2021-10-28
#8J2PRR9Y,#2CQQVQCU,50,2021-10-08
#8J2PRR9Y,#2CQQVQCU,50,2021-11-02
#8J2PRR9Y,#2CQQVQCU,20,2021-11-07
#8J2PRR9Y,#2CQQVQCU,25,2021-09-26
#8J2PRR9Y,#2CQQVQCU,20,2021-08-17
#8J2PRR9Y,#2CQQVQCU,25,2021-08-21
#8J2PRR9Y,#2CQQVQCU,15,2021-10-03
#92828YYCU,#2CQQVQCU,50,2021-10-14
#92828YYCU,#2CQQVQCU,20,2021-08-12
#92828YYCU,#2CQQVQCU,20,2021-10-02
#9QYRCPJP2,#2CQQVQCU,55,2021-10-12
#9QYRCPJP2,#2CQQVQCU,15,2021-09-25
#9QYRCPJP2,#2CQQVQCU,35,2021-08-14
#9QYRCPJP2,#2CQQVQCU,20,2021-11-02
#90JYC28PR,#2CQQVQCU,30,2021-08-14
#90JYC28PR,#2CQQVQCU,20,2021-10-24
#90JYC28PR,#2CQQVQCU,50,2021-08-11
#90JYC28PR,#2CQQVQCU,25,2021-10-27
#90JYC28PR,#2CQQVQCU,30,2021-10-26
#90JYC28PR,#2CQQVQCU,30,2021-08-28
#90JYC28PR,#2CQQVQCU,35,2021-09-27
#90JYC28PR,#2CQQVQCU,55,2021-09-04
#880UQUUQC,#2CQQVQCU,25,2021-09-27
#880UQUUQC,#2CQQVQCU,30,2021-08-11
#2GQVLYV0U,#2CQQVQCU,30,2021-09-28
#2GQVLYV0U,#2CQQVQCU,45,2021-10-19
#2GQVLYV0U,#2CQQVQCU,15,2021-08-05
#2GQVLYV0U,#2CQQVQCU,25,2021-08-27
#2GQVLYV0U,#2CQQVQCU,40,2021-10-25
#2GQVLYV0U,#2CQQVQCU,15,2021-11-07
#2GQVLYV0U,#2CQQVQCU,25,2021-09-24
#2CQV02CYR,#2CQQVQCU,50,2021-08-10
#2CQV02CYR,#2CQQVQCU,30,2021-09-06
#2CQV02CYR,#2CQQVQCU,15,2021-09-25
#2CQV02CYR,#2CQQVQCU,25,2021-08-14
#2CQV02CYR,#2CQQVQCU,45,2021-08-18
#2CQV02CYR,#2CQQVQCU,50,2021-09-10
#2CQV02CYR,#2CQQVQCU,55,2021-09-22
#2CQV02CYR,#2CQQVQCU,20,2021-09-20
#2CQV02CYR,#2CQQVQCU,25,2021-11-06
#2CQV02CYR,#2CQQVQCU,20,2021-08-26
#888P9C9UV,#2CQQVQCU,30,2021-09-07
#888P9C9UV,#2CQQVQCU,45,2021-09-19
#888P9C9UV,#2CQQVQCU,45,2021-11-08
#888P9C9UV,#2CQQVQCU,50,2021-08-24
#888P9C9UV,#2CQQVQCU,35,2021-08-16
#888P9C9UV,#2CQQVQCU,20,2021-10-10
#888P9C9UV,#2CQQVQCU,55,2021-10-07
#888P9C9UV,#2CQQVQCU,50,2021-10-16
#888P9C9UV,#2CQQVQCU,20,2021-10-14
#J8QPJY8Q,#2CQQVQCU,25,2021-11-03
#J8QPJY8Q,#2CQQVQCU,35,2021-08-20
#J8QPJY8Q,#2CQQVQCU,55,2021-09-06
#J8QPJY8Q,#2CQQVQCU,50,2021-10-16
#J8QPJY8Q,#2CQQVQCU,55,2021-08-09
#J8QPJY8Q,#2CQQVQCU,20,2021-09-06
#J8QPJY8Q,#2CQQVQCU,55,2021-08-06
#J8QPJY8Q,#2CQQVQCU,30,2021-10-06
#J8QPJY8Q,#2CQQVQCU,15,2021-09-27
#J8QPJY8Q,#2CQQVQCU,50,2021-08-05
#2GPVQYQLG,#2CQQVQCU,45,2021-09-06
#2GPVQYQLG,#2CQQVQCU,30,2021-09-29
#2GPVQYQLG,#2CQQVQCU,25,2021-10-07
#2GPVQYQLG,#2CQQVQCU,35,2021-10-10
#88UPCYJVC,#2CQQVQCU,40,2021-10-07
#2JRYUGY9V,#2CQQVQCU,45,2021-10-07
#2JRYUGY9V,#2CQQVQCU,40,2021-09-08
#2JRYUGY9V,#2CQQVQCU,40,2021-08-14
#2JRYUGY9V,#2CQQVQCU,40,2021-08-15
#2JRYUGY9V,#2CQQVQCU,40,2021-10-06
#2JRYUGY9V,#2CQQVQCU,50,2021-08-22
#2JRYUGY9V,#2CQQVQCU,55,2021-09-07
#2JRYUGY9V,#2CQQVQCU,35,2021-10-03
#2JRYUGY9V,#2CQQVQCU,50,2021-08-09
#2JRYUGY9V,#2CQQVQCU,15,2021-09-23
#YUU8RCCRQ,#2CQQVQCU,20,2021-09-27
#YUU8RCCRQ,#2CQQVQCU,20,2021-10-22
#YUU8RCCRQ,#2CQQVQCU,35,2021-09-02
#YUU8RCCRQ,#2CQQVQCU,35,2021-10-20
#YUU8RCCRQ,#2CQQVQCU,30,2021-10-15
#YUU8RCCRQ,#2CQQVQCU,50,2021-10-08
#YUU8RCCRQ,#2CQQVQCU,30,2021-10-28
#YUU8RCCRQ,#2CQQVQCU,20,2021-09-05
#YUU8RCCRQ,#2CQQVQCU,35,2021-10-26
#CGLRRPYL,#2CQQVQCU,40,2021-08-08
#CGLRRPYL,#2CQQVQCU,40,2021-10-05
#CGLRRPYL,#2CQQVQCU,15,2021-08-13
#CGLRRPYL,#2CQQVQCU,20,2021-11-02
#8UGL9GLL,#2CQQVQCU,35,2021-09-19
#8UGL9GLL,#2CQQVQCU,15,2021-08-06
#8UGL9GLL,#2CQQVQCU,20,2021-08-31
#99V99R2PV,#2CQQVQCU,55,2021-11-01
#99V99R2PV,#2CQQVQCU,35,2021-10-08
#99V99R2PV,#2CQQVQCU,40,2021-10-17
#99V99R2PV,#2CQQVQCU,40,2021-09-06
#99V99R2PV,#2CQQVQCU,15,2021-09-20
#99V99R2PV,#2CQQVQCU,40,2021-09-09
