id,sender,receiver,text,date,answer
26,#989L99QLC,#28V2QQ9C,"I g-guess you guys aren't ready for that yet. But your kids are gonna love it.,",2020-08-18,704
27,#80J0P829U,#2CQQVQCU,"Luminous beings are we - not this crude matter.,",2020-12-08,381
28,#92LRGLQ2C,#VQCQQJP,"I love you.,",2021-07-18,300
29,#P8C8JRV,#9G2PVP0R,"Not if anything to say about it I have,",2021-02-13,
30,#9QULGU02,#9LP9VCJ8,"You want a Pepsi, pal, you're gonna pay for it.,",2021-10-28,142
31,#9VQQ99Y8,#VQCQQJP,"Perfect! My experiment worked! They're all exactly 25 minutes slow!,",2020-08-15,
32,#VQJ9UUP,#8LGRYC,"Someone else always has to carry on the story.,",2021-02-03,214
33,#2PURUJPQ,#PJY9PP98,Quote,2021-03-19,945
34,#9L2GV8VUC,#28V2QQ9C,"Hey, Biff, get a load of this guy's life preserver. Dork thinks he's gonna drown.,",2021-04-15,
35,#8L8VV88C,#PV2G9U2L,"Stand tall, boy. Have some respect for yourself. Don't you know, if you let people walk over you now, they'll be walking over you for the rest of your life. Look at me. You think I'm gonna spend the rest of my life in this slop house?,",2021-11-23,56
36,#89RQQV2U9,#9GUCJRL0,"I finally invent something that works!,",2021-08-30,
37,#R9QYRY2,#9G2PVP0R,"Reckless he is. Matters are worse.,",2020-09-24,
38,#9CUUU99,#VQCQQJP,"The leaves were long, the grass was green,",2021-07-12,
39,#2LY2GGVR,#PJY9PP98,"Silence, Earthling. My name is Darth Vader. I am an extraterrestrial from the planet Vulcan!,",2020-11-01,
40,#2Y8CJ2LJC,#9G2PVP0R,"Radiation suit? Of course. 'Cause of all the fallout from the atomic wars.,",2020-10-29,896
41,#YC9GR0RGQ,#9QY9JG09,"Harry, is that bag smiling?,",2020-12-13,530
42,#VCUYGG8J,#8VUVGPVC,"I'm gonna get that son of a bitch.,",2021-04-23,
43,#RQQQY2L28,#9QY9JG09,"Scram, McFly. I'm cuttin' in.,",2020-08-10,585
44,#YG9UL29R0,#28V2QQ9C,"Moonlight drowns out all but the brightest stars.,",2021-12-06,627
45,#80RGP2JPR,#8YQ9LPPV,"That's good. Go on, read some more.,",2021-01-17,432
46,#YU9C2UGL,#P0LLG9RG,"It's the job that's never started as takes longest to finish.,",2021-02-01,307
47,#J999R29J,#9QY9JG09,"Pie. Whoever invented the pie? Here was a great person.,",2021-11-03,497
48,#RPRL02JQ,#9G2PVP0R,"The things I do for love.,",2021-04-04,
49,#8QCRLCLG,#8VUVGPVC,There's nothing quite like urinating in the open air.,2020-09-18,
50,#8282YYRL,#VQCQQJP,"That is why you fail.,",2021-08-12,
51,#PLGJU82QC,#PPCLCJG9,"I don't keep water in my pockets.,",2021-05-16,
52,#82L2VCV8,#L0QPV,"""Yes, a Jedi’s strength flows from the Force. But beware of the dark side. Anger, fear, aggression; the dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wan’s apprentice.,""",2020-08-04,
53,#UR8L82JQ,#PJY9PP98,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.,",2021-11-21,490
54,#YRV9PUGUR,#QCJ0J9UP,"Give me honorable enemies rather than ambitious ones, and I'll sleep more easily by night.,",2021-08-15,
55,#PU2YY8,#9GUCJRL0,"Hmm. In the end, cowards are those who follow the dark side.,",2020-09-02,
56,#PG9CR2RC,#Y0QR0Y2U,"Let's see if you bastards can do 90.,",2021-07-30,325
57,#2PUJ2URC,#28V2QQ9C,"I could not 'make' you--except by force, which would break your mind.,",2021-05-01,210
58,#L8YQLYV2,#9CCJ2R02,"Give me honorable enemies rather than ambitious ones, and I'll sleep more easily by night.,",2021-04-20,212
59,#28GUPV8QG,#8YLJ8UL2,"Moonlight drowns out all but the brightest stars.,",2021-05-23,112
60,#2VV9GUYVR,#VQCQQJP,"Good relations with the Wookiees, I have.,",2021-04-24,
61,#98CP90GJ9,#9GUCJRL0,"To answer power with power, the Jedi way this is not. In this war, a danger there is, of losing who we are.,",2021-09-21,812
62,#Q9PGVUY8,#Y0QR0Y2U,"NO ADMITTANCE EXCEPT ON PARTY BUSINESS.,",2020-08-26,606
63,#P88PQJ2UV,#9QY9JG09,"To answer power with power, the Jedi way this is not. In this war, a danger there is, of losing who we are.,",2021-11-26,551
64,#R0CG80YG0,#9QY9JG09,"You know, this is — excuse me — a damn fine cup of coffee!",2021-09-27,732
65,#YCLJUU8G,#PPCLCJG9,"People in love can overcome anything.,",2021-08-25,981
66,#VQ29UYYY,#QCJ0J9UP,"NO ADMITTANCE EXCEPT ON PARTY BUSINESS.,",2020-12-25,18
67,#URL0222L,#PPCLCJG9,"Pain, suffering, death I feel. Something terrible has happened. Young Skywalker is in pain. Terrible pain,",2021-08-20,
68,#2PCRV0QPY,#Y0QR0Y2U,"Give me honorable enemies rather than ambitious ones, and I'll sleep more easily by night.,",2020-10-16,
69,#2UL9YLPL0,#P0LLG9RG,"Ah, Jesus Christ! Jesus Christ, Doc, you disintegrated Einstein!,",2021-02-17,
70,#9P2JPCY9U,#P0LLG9RG,"Will this sadness that makes me cry my heart out — will it ever end? The answer, of course, is yes. One day the sadness will end.",2021-09-27,928
71,#9V20UYCRU,#8LGRYC,"Truly wonderful, the mind of a child is.,",2021-08-17,619
72,#2PUJ2URC,#8LGRYC,"""Sometimes jokes are welcome. Like the one about the kid who said: """"I enjoyed school. It was just the principal of the thing.""""""",2020-11-23,720
73,#8PCGQPV9P,#9LP9VCJ8,"...as young and as ancient as Spring....,",2021-08-18,414
74,#2P0PQCVPC,#PJY9PP98,"Great Scott!,",2021-11-11,438
75,#98LLQYJG,#VQCQQJP,"Silence, Earthling. My name is Darth Vader. I am an extraterrestrial from the planet Vulcan!,",2020-10-07,535
76,#2R98U2C9C,#9QY9JG09,"Tape Seinfeld for me.,",2021-12-07,57
77,#GLVCVLJP,#9GUCJRL0,"All's well that ends better.,",2020-09-03,596
78,#2QCUGCPQ,#PPCLCJG9,"Every day, once a day, give yourself a present.",2020-08-08,
79,#2UGR22RCP,#9G2PVP0R,"A degenerate, am I? Well, you are a festisio! See? I can make up words too, sister.,",2020-12-20,924
80,#VCVCG2YR,#8YLJ8UL2,"NO ADMITTANCE EXCEPT ON PARTY BUSINESS.,",2020-10-03,257
81,#RQQQY2L28,#8YQ9LPPV,"Look, you're not gonna be picking a fight, Dad... Dad-Dad-Daddy-O.,",2021-08-04,530
82,#R8000P88,#28V2QQ9C,"Often does hatred hurt itself!,",2021-11-07,709
83,#8V0222YG,#28V2QQ9C,"One! Two! Three!,",2020-10-29,296
84,#2V9LQ2YUG,#PV2G9U2L,"Stella! Another one of these damn kids jumped in front of my car! Come on out here! Help me take him in the house!,",2021-01-29,826
85,#QQLVULY,#9CCJ2R02,"Things are not always as they seemed, much that may seem evil can be good.,",2021-04-19,449
86,#2LYPPG0Y2,#QCJ0J9UP,"Now I may be an idiot, but there’s one thing I am not sir, and that sir, is an idiot.,",2021-04-05,115
87,#28GUPGY2,#PPCLCJG9,"Clothes are but little loss, if you escape from drowning.,",2020-11-25,233
88,#2RL2R0J0C,#8VUVGPVC,"The Lord of the Ringwraiths had met his doom.,",2021-08-14,
89,#2CUGV2Y98,#28V2QQ9C,"Do. Or do not. There is no try.,",2021-10-23,614
90,#20YJGL9V,#9G2PVP0R,"I g-guess you guys aren't ready for that yet. But your kids are gonna love it.,",2021-01-15,515
91,#8J8QCGLR,#28V2QQ9C,"Anyway, your Grandpa hit him with the car and brought him into the house. He seemed so helpless, like a little lost puppy, and my heart just went out to him.,",2020-08-23,
92,#2PVCG9GQ,#Y0QR0Y2U,"I don't keep water in my pockets.,",2021-01-24,901
93,#82LP8CPJ8,#QCJ0J9UP,"No comment.,",2021-01-28,549
94,#28V9Q0,#P0LLG9RG,"A degenerate, am I? Well, you are a festisio! See? I can make up words too, sister.,",2021-05-25,
95,#9Q8UCU0Q0,#8YLJ8UL2,"That's Strickland. Jesus, didn't that guy ever have hair?,",2021-10-13,
96,#2GL2RUJL,#28V2QQ9C,"My equipment. That reminds me, Marty. You better not hook up to the amplifier. There's a slight possibility of overload.,",2020-11-08,740
97,#2929RVQQY,#VQCQQJP,"I have your car towed all the way to your house and all you got for me is lite beer?,",2020-09-13,935
98,#92LRGLQ2C,#PJY9PP98,"Anyway, your Grandpa hit him with the car and brought him into the house. He seemed so helpless, like a little lost puppy, and my heart just went out to him.,",2021-08-04,
99,#8VLCCYU82,#L0YJ02YL,"Give me honorable enemies rather than ambitious ones, and I'll sleep more easily by night.,",2021-07-31,539
100,#9QYRCPJP2,#L0YJ02YL,"Mudhole? Slimy? My home this is!,",2021-04-25,127
101,#RPUU9RY8,#9G2PVP0R,"And I have a tender spot in my heart for cripples and bastards and broken things.,",2021-01-01,488
102,#U2QP29R9,#9GUCJRL0,"You can get anything you want at Alice's restaurant.,",2020-09-22,429
103,#98CP90GJ9,#L0YJ02YL,"Much to learn you still have my old padawan. ... This is just the beginning!,",2020-12-24,647
104,#8UL0P8LQ,#2CQQVQCU,"That's Strickland. Jesus, didn't that guy ever have hair?,",2021-03-04,492
105,#LR89LRRVJ,#2CQQVQCU,"Perfect! My experiment worked! They're all exactly 25 minutes slow!,",2021-05-23,
106,#P8QP0LUPV,#9GUCJRL0,"Roads? Where we're going, we don't need roads.,",2021-03-24,
107,#QJU0P2JJP,#PPCLCJG9,"Well, you're safe and sound now, back in good old 1955.,",2021-06-11,
108,#9LGYYV9G,#8YLJ8UL2,"Jesus, George, it was a wonder I was even born.,",2020-12-25,740
109,#QRQ9UU9U8,#28V2QQ9C,"It's the job that's never started as takes longest to finish.,",2021-07-23,376
110,#PL02LR2,#8VUVGPVC,"Nothing burns like the cold.,",2020-08-21,
111,#PPRPJCYV,#9LP9VCJ8,"Much to learn you still have my old padawan. ... This is just the beginning!,",2021-08-11,688
112,#P8YUYYGPQ,#QCJ0J9UP,"Harry, is that bag smiling?,",2021-03-14,757
113,#98G8PYUQ2,#9QY9JG09,"I have your car towed all the way to your house and all you got for me is lite beer?,",2021-04-22,
114,#9YJ08GG08,#28V2QQ9C,"Stella! Another one of these damn kids jumped in front of my car! Come on out here! Help me take him in the house!,",2020-08-28,734
115,#GYGCJYPL,#QCJ0J9UP,"What-what the hell is a gigawatt?,",2021-06-27,892
116,#U800U9U9,#9GUCJRL0,"Who's President of the United States in 1985? Ronald Reagan? The actor? Ha! Then whose vice president? Jerry Lewis?,",2021-07-27,651
117,#UR8L82JQ,#Y0QR0Y2U,"Goodnight, my darlings, I'll see you tomorrow.,",2020-09-22,842
118,#2UJP2U2UP,#9LP9VCJ8,"Difficult to see. Always in motion is the future...,",2020-09-19,695
119,#2YGCCC8VV,#8VUVGPVC,"I forgot something.,",2021-07-24,302
120,#Q9GV0Y8Y,#PPCLCJG9,"Don't worry. As long as you hit that wire with the connecting hook at precisely 88 miles per hour, the instant the lightning strikes the tower... everything will be fine.,",2021-04-25,389
121,#2PU98V8QJ,#L0YJ02YL,"I look foul and feel fair.,",2021-06-07,997
122,#90UL09LP,#2CQQVQCU,"I've had enough practical jokes for one evening. Good night, future boy!,",2020-09-28,169
123,#JPQPPUJ,#2CQQVQCU,"Take that, you mutated son of a bitch!,",2021-05-21,202
124,#2Q9VJQL8U,#PV2G9U2L,"Sing, all ye children of the West,",2021-03-04,
125,#2QQCULG2V,#PPCLCJG9,Quote,2021-09-08,31
126,#8R2JCGPC,#9CCJ2R02,"Do. Or do not. There is no try.,",2021-03-13,310
127,#Y202YVUU,#9G2PVP0R,"Fear cuts deeper than swords.,",2021-10-10,
128,#889982CQY,#QCJ0J9UP,"Maybe you were adopted.,",2020-09-15,
129,#2CUGV2Y98,#9G2PVP0R,"Hello? Hello? Anybody home? Huh? Think, McFly. Think! I gotta have time to get them retyped. Do you realize what would happen if I hand in my reports in your handwriting? I'll get fired. You wouldn't want that to happen, would ya? Would ya?,",2021-10-04,524
130,#2LRU8YJ2P,#9GUCJRL0,"Tape Seinfeld for me.,",2021-04-01,841
131,#R8GRU8YP2,#P0LLG9RG,"That's Strickland. Jesus, didn't that guy ever have hair?,",2020-09-02,
132,#2V9LQ2YUG,#8YQ9LPPV,"Hmm. In the end, cowards are those who follow the dark side.,",2021-11-19,938
133,#2Y8LPPUG8,#L0QPV,"I don't think they even heard me.,",2021-02-16,41
134,#2YJCGYVQ8,#8YQ9LPPV,"Once you start down the dark path, forever will it dominate your destiny, consume you it will.,",2021-01-13,711
135,#UUQ9ULJG,#9GUCJRL0,"Dwarves’ tongues run on when speaking of their handiwork, they say.,",2021-08-13,426
136,#8C9RQYV2J,#9LP9VCJ8,"Look, you're not gonna be picking a fight, Dad... Dad-Dad-Daddy-O.,",2020-09-06,
137,#2GL2RUJL,#8VUVGPVC,"I wish the Ring had never come to me. I wish none of this had happened.,",2021-02-07,56
138,#8L000LJ9Y,#9G2PVP0R,"My vocabulary did this to me. Your love will let you go on…,",2021-04-08,899
139,#8J8QCGLR,#9GUCJRL0,"Hodor? Hodor.,",2021-04-02,
140,#9UPG92JC,#2CQQVQCU,"Not all those who wander are lost,",2021-10-15,322
141,#2VP9LL2JP,#L0YJ02YL,"See you later, Pop. Whoo! Time to change that oil.,",2020-08-31,547
142,#VRYV8QGQ,#8VUVGPVC,"You know, this is — excuse me — a damn fine cup of coffee!",2020-12-01,
143,#9YYGL9GUQ,#8YQ9LPPV,"That's Strickland. Jesus, didn't that guy ever have hair?,",2021-06-13,
144,#2PYUQL2VG,#9G2PVP0R,She's dead... Wrapped in plastic.,2021-03-31,
145,#92V2VRCVQ,#P0LLG9RG,You're late! Do you have no concept of time?,2021-06-21,
146,#CQ8CPPG9,#8YQ9LPPV,There was a fish in the percolator!,2021-03-15,698
147,#22RPYRV99,#PJY9PP98,"""You got a real attitude problem, McFly; you're a slacker. You remind me of your father when he went here; he was a slacker, too.,""",2020-08-20,
148,#888P9C9UV,#9QY9JG09,"Pie. Whoever invented the pie? Here was a great person.,",2021-08-30,222
149,#90JYC28PR,#9GUCJRL0,"Don't be so gullible, McFly. Got the place fixed up nice, though, McFly.,",2020-12-17,617
150,#28GUPGY2,#8YQ9LPPV,"You know, this is great guys. Drinking and eating garbage. I'm glad we all took a mental health day.,",2020-09-26,776
151,#9RCYRP2,#9GUCJRL0,"Is it not meningitis?,",2021-10-20,334
152,#RGJCUQ8R,#28V2QQ9C,"Anyway, your Grandpa hit him with the car and brought him into the house. He seemed so helpless, like a little lost puppy, and my heart just went out to him.,",2021-03-01,207
153,#GVPVJQR,#VQCQQJP,"A degenerate, am I? Well, you are a festisio! See? I can make up words too, sister.,",2021-09-14,
154,#82UCYLQG,#8VUVGPVC,Black as midnight on a moonless night.,2021-02-13,455
155,#20P8LJPU9,#9CCJ2R02,"Your weapons, you will not need them.,",2021-07-25,913
156,#2ULYLVQ,#PJY9PP98,"In winter here no heart could mourn for summer or for spring.,",2021-08-03,3
157,#Q89VPVUP8,#P0LLG9RG,"Hmm. In the end, cowards are those who follow the dark side.,",2021-06-13,
158,#QVC8PGUG,#VQCQQJP,"Oh, honey, he's teasing you. Nobody has two television sets.,",2021-01-17,
159,#QV2PYL,#8VUVGPVC,"I'll be in Hell before you start breakfast! Let her rip!,",2021-05-29,801
160,#PJY90J9VL,#P0LLG9RG,"Soon will I rest, yes, forever sleep. Earned it I have. Twilight is upon me, soon night must fall.,",2020-10-03,
161,#89RPQ9PP9,#PJY9PP98,"You want a Pepsi, pal, you're gonna pay for it.,",2021-09-26,
162,#2J2LVPY9L,#8VUVGPVC,"Since you're new here, I-I'm gonna cut you a break, today. So, why don't you make like a tree and get outta here?,",2021-11-16,
163,#880UQUUQC,#QCJ0J9UP,"Begone, foul dwimmerlaik, lord of carrion! Leave the dead in peace!,",2021-10-09,264
164,#GQJYCRQ8,#9GUCJRL0,"I'm sure that in 1985, plutonium is available in every corner drugstore, but in 1955, it's a little hard to come by.,",2021-06-01,
165,#RPJG28Q,#PPCLCJG9,"Don't worry. As long as you hit that wire with the connecting hook at precisely 88 miles per hour, the instant the lightning strikes the tower... everything will be fine.,",2021-08-31,930
166,#892JJYVC,#PPCLCJG9,"I didn't think it would end this way.,",2020-11-12,
167,#Y0JVJL9P,#8VUVGPVC,"I forgot something.,",2021-05-28,
168,#PU9Y888V,#8VUVGPVC,"See you later, Pop. Whoo! Time to change that oil.,",2020-10-01,686
169,#LR89LRRVJ,#8YQ9LPPV,"Next saturday night we're sending you back to the future!,",2021-08-05,
170,#PYR9GLQU0,#QCJ0J9UP,"Sing, all ye children of the West,",2021-03-04,526
171,#889982CQY,#8VUVGPVC,You're late! Do you have no concept of time?,2020-11-03,991
172,#8GRCGCCQC,#L0YJ02YL,Quote,2021-03-13,499
173,#22U2C2PP0,#PPCLCJG9,"What-what the hell is a gigawatt?,",2021-05-02,949
174,#9YUUVJ08G,#2CQQVQCU,"I wish the Ring had never come to me. I wish none of this had happened.,",2021-10-18,
175,#P9L2UGPR,#PPCLCJG9,"I am confound.,",2020-11-22,
176,#2PUR2R89L,#8VUVGPVC,"I went the distance.,",2021-03-01,613
177,#2CRQQ2CVP,#QCJ0J9UP,"It's already mutated into human form! Shoot it!,",2021-02-01,899
178,#Y2LJYGUP,#QCJ0J9UP,"Hey, Dad! George! Hey, you on the bike!,",2021-05-13,
179,#2RCPG208L,#PJY9PP98,Do you want to know what the ultimate secret is? Laura did. The secret of knowing who killed you.,2021-01-16,
180,#2YLQ22YQV,#QCJ0J9UP,"Hurrah for anarchy! This is the happiest moment of my life.,",2020-09-05,
181,#92828YYCU,#9QY9JG09,"The great storm is coming, but the tide has turned.,",2020-09-21,563
182,#2VV0RRVG9,#9CCJ2R02,"Stella! Another one of these damn kids jumped in front of my car! Come on out here! Help me take him in the house!,",2020-12-15,819
183,#VC2L0QPU,#Y0QR0Y2U,"Always two there are, no more, no less. A master and an apprentice.,",2021-02-15,174
184,#8PCCYQVG,#Y0QR0Y2U,"Oh, my God. They found me. I don't know how, but they found me. Run for it, Marty!,",2021-01-04,881
185,#92P8RR8LP,#8YLJ8UL2,"""Through the darkness of future's past, the magician longs to see. One chants out between two worlds... """"Fire... walk with me.""""""",2021-05-20,324
186,#98CP90GJ9,#PPCLCJG9,"Fear cuts deeper than swords.,",2021-08-18,484
187,#QGLQC2YYG,#8YLJ8UL2,"But where the warg howls, there also the orc prowls. - Aragorn,",2021-07-26,
188,#9V0PQY2YG,#28V2QQ9C,"Last night, Darth Vader came down from Planet Vulcan and told me that if I didn't take Lorraine out, that he'd melt my brain.,",2021-02-28,
189,#99UVLULJY,#28V2QQ9C,"Some old wounds never truly heal, and bleed again at the slightest word.,",2021-03-14,
190,#8Y9QVU2QJ,#P0LLG9RG,"Last night, Darth Vader came down from Planet Vulcan and told me that if I didn't take Lorraine out, that he'd melt my brain.,",2021-02-04,392
191,#JP9JVC9Y,#PJY9PP98,"But all’s well as ends well,",2021-03-28,58
192,#P82PPQPV,#VQCQQJP,"The wolf that one hears is worse than the orc that one fears. - Boromir,",2021-11-27,372
193,#89U2UCQVQ,#L0QPV,"Radiation suit? Of course. 'Cause of all the fallout from the atomic wars.,",2021-02-13,904
194,#RRCUL00,#L0YJ02YL,"Audrey, there are many cures for a broken heart. But nothing quite like a trout's leap in the moonlight.,",2021-05-28,62
195,#YYJUJUQG,#L0YJ02YL,"I love you.,",2021-04-21,486
196,#PLLC2VG,#Y0QR0Y2U,"Hey, come on. I had to change. Do you think I'm going back in that-that zoot suit? The old man really came through. It worked!,",2021-06-21,
197,#9JC989C2U,#9G2PVP0R,Black as midnight on a moonless night.,2021-01-13,
198,#299JJLV8L,#8YQ9LPPV,"Hey, you! Get your damn hands off her!,",2020-10-04,
199,#8CUL88Y08,#PJY9PP98,"For he gave it up in the end of his own accord: an important point. No,,",2021-02-09,
200,#2PJP8LJC,#2CQQVQCU,"Let me show you my plan for sending you home. Please excuse the crudity of this model. I didn't have time to build it to scale or paint it.,",2021-08-12,326
201,#P8J2V2CQ,#9CCJ2R02,"Fear nothing! Have peace until the morning! Heed no nightly noises!,",2021-02-28,206
202,#2GC2R2P2Y,#P0LLG9RG,"Mudhole? Slimy? My home this is!,",2021-02-13,
203,#2JJGRPVPL,#9QY9JG09,Quote,2021-06-24,835
204,#YLRU2LLYP,#9G2PVP0R,"Oh, my God. They found me. I don't know how, but they found me. Run for it, Marty!,",2020-08-27,359
205,#VPUQYUY,#P0LLG9RG,"You have shown your usual cunning in getting up just in time for a meal.,",2021-11-15,668
206,#PG28UYQLJ,#PV2G9U2L,"That's Strickland. Jesus, didn't that guy ever have hair?,",2021-03-23,237
207,#YL098VV8P,#VQCQQJP,"Summer will end soon enough, and childhood as well.,",2021-06-30,280
208,#PCYRRP8J2,#8YQ9LPPV,"Oh, honey, he's teasing you. Nobody has two television sets.,",2020-11-05,299
209,#89RYUPQ0V,#8YLJ8UL2,"Who knows? Have patience. Go where you must go, and hope!,",2021-09-11,
210,#YU28V0LP,#L0QPV,"To answer power with power, the Jedi way this is not. In this war, a danger there is, of losing who we are.,",2021-05-14,549
211,#9QLU9UJ2R,#8VUVGPVC,"Always two there are, no more, no less. A master and an apprentice.,",2021-08-24,637
212,#CJYP2PV2,#8YLJ8UL2,"Okay. Time circuit's on. Flux capacitor, fluxing. Engine running. All right.,",2021-07-07,496
213,#2LPC0LVPG,#PJY9PP98,"Happy.,",2021-09-29,793
214,#9JCVVGU9P,#9CCJ2R02,"To answer power with power, the Jedi way this is not. In this war, a danger there is, of losing who we are.,",2021-11-28,472
215,#2092CR2RV,#9LP9VCJ8,"Well, this is certainly a pleasant surprise.,",2021-06-20,
216,#8JG820YQG,#2CQQVQCU,"How's Annie? How's Annie? How's Annie?,",2021-09-16,213
217,#VR29JCCG,#QCJ0J9UP,"""Sometimes jokes are welcome. Like the one about the kid who said: """"I enjoyed school. It was just the principal of the thing.""""""",2020-10-02,65
218,#2QY9CYJVY,#28V2QQ9C,"I’ve got an idea–an idea so smart that my head would explode if I even began to know what I’m talking about.,",2021-08-27,325
219,#8QPYVCL,#PV2G9U2L,"He's an absolute dream!,",2020-09-27,433
220,#RV29VYG,#9G2PVP0R,"Look, you're not gonna be picking a fight, Dad... Dad-Dad-Daddy-O.,",2021-10-29,
221,#29VLJP0UC,#9G2PVP0R,"I am so not competitive. In fact, I am the least non-competitive. So I win.,",2021-03-31,269
222,#9LQJLL,#PJY9PP98,"Fear cuts deeper than swords.,",2020-12-06,816
223,#98YVRUYLR,#L0YJ02YL,"Things are not always as they seemed, much that may seem evil can be good.,",2020-09-04,26
224,#CJCR98C,#PV2G9U2L,"You know, this is — excuse me — a damn fine cup of coffee!",2021-01-04,
225,#PCPGJ8J0,#PJY9PP98,"All right. This is an oldie, but, uh... well, it's an oldie where I come from.,",2021-07-13,885
226,#U2QP29R9,#8LGRYC,"No! It requires something with a little more kick...plutonium!,",2021-02-14,15
227,#9YGJG8LP,#8YLJ8UL2,"Calm down, Marty. I didn't disintegrate anything. The molecular structure of both Einstein and the car are completely intact.,",2020-09-20,
228,#998LUCJC,#8YQ9LPPV,"Damn! I'm late for school!,",2021-08-27,675
229,#C00Y8QJ8,#8VUVGPVC,"""Size matters not. Look at me. Judge me by my size, do you? Hmm? Hmm. And well you should not. For my ally is the Force, and a powerful ally it is. Life creates it, makes it grow. Its energy surrounds us and binds us. Luminous beings are we, not this crude matter. You must feel the Force around you; here, between you, me, the tree, the rock, everywhere, yes. Even between the land and the ship.,""",2021-09-20,310
230,#80LPYLGC,#9QY9JG09,"What-what the hell is a gigawatt?,",2020-08-17,
231,#2PY2228U9,#P0LLG9RG,"You really think I ought to swear?,",2020-10-11,
232,#98G8PYUQ2,#VQCQQJP,She's dead... Wrapped in plastic.,2021-07-28,805
233,#V9LR928J,#8YLJ8UL2,"""You got a real attitude problem, McFly; you're a slacker. You remind me of your father when he went here; he was a slacker, too.,""",2020-09-20,677
234,#8GR2GVLJ0,#QCJ0J9UP,"A hunted man sometimes wearies of distrust and longs for friendship.,",2021-01-10,890
235,#2VV9GUYVR,#PPCLCJG9,"The North remembers.,",2020-09-29,207
236,#8Y82QU8JU,#L0QPV,"Like fire across the galaxy the Clone Wars spread. In league with the wicked Count Dooku, more and more planets slip. Against this threat, upon the Jedi Knights falls the duty to lead the newly formed army of the Republic. And as the heat of war grows, so, to, grows the prowess of one most gifted student of the Force.,",2021-09-09,213
237,#9JLQPU802,#8YQ9LPPV,"Fear cuts deeper than swords.,",2021-03-02,67
